Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;21
1;84
2;120
3;152
4;129
5;101
6;79
7;57
8;37
9;36
10;31
11;24
12;14
13;14
14;12
15;7
16;3
17;5
18;6
19;3
20;1
21;4
22;5
23;3
24;4
25;2
26;1
27;5
28;3
29;0
30;2
31;0
32;2
33;4
34;2
35;0
36;2
37;2
38;3
39;2
40;0
41;0
42;0
43;2
44;1
45;3
46;1
47;2
48;0
49;1
50;1
51;0
52;0
53;0
54;0
55;1
56;0
57;1
58;0
59;0
60;0
61;0
62;0
63;0
64;0
65;0
66;2
67;0
68;1
69;0
70;0
71;0
72;0
73;0
74;1
75;0
76;0
77;0
78;0
79;0
80;1
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;0
96;0
97;0
98;0
99;0
