Numer iteracji;Najlepszy;Sredni;Najgorszy
0;46;74;103
1;46;70;102
2;46;68;102
3;44;65;92
4;44;62;83
5;44;61;79
6;44;62;83
7;44;61;83
8;44;59;74
9;44;60;76
10;44;60;75
11;44;59;79
12;44;59;74
13;44;60;76
14;44;59;76
15;44;60;76
16;44;60;83
17;44;60;80
18;44;59;75
19;44;59;81
20;44;60;80
21;44;58;74
22;44;59;76
23;44;58;83
24;44;61;81
25;44;60;87
26;44;60;75
27;44;60;83
28;44;58;72
29;44;59;77
30;44;59;77
31;44;60;83
32;44;60;78
33;44;60;79
34;44;59;86
35;44;60;91
36;44;61;77
37;44;60;76
38;44;60;77
39;44;60;84
40;44;60;81
41;44;59;74
42;44;60;77
43;44;58;75
44;44;59;80
45;44;59;75
46;44;60;77
47;44;59;74
48;44;59;74
49;44;58;77
50;44;59;79
51;44;59;79
52;44;59;77
53;44;59;82
54;44;58;76
55;44;59;82
56;44;59;79
57;44;60;78
58;44;60;78
59;44;60;87
60;44;59;87
61;44;60;77
62;44;59;75
63;44;60;85
64;44;59;74
65;44;59;73
66;44;59;77
67;44;60;83
68;44;59;75
69;44;58;75
70;44;60;79
71;44;59;75
72;44;58;75
73;44;59;77
74;44;60;82
75;44;59;78
76;44;59;75
77;44;59;81
78;44;57;75
79;44;59;73
80;44;58;74
81;44;59;83
82;44;61;83
83;44;60;75
84;44;60;80
85;44;58;87
86;44;59;78
87;44;58;74
88;44;59;79
89;44;58;78
90;44;59;83
91;44;56;67
92;44;59;80
93;44;59;76
94;44;58;74
95;44;61;83
96;44;59;76
97;44;60;75
98;44;60;94
99;44;59;87
100;44;59;75
