Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;57;70;87;65;65
1;57;69;85;59;59
2;52;62;77;59;59
3;52;62;77;59;59
4;52;62;77;52;52
5;49;57;70;52;52
6;49;58;70;49;49
7;49;57;67;49;49
8;49;56;67;49;49
9;49;57;67;49;49
10;49;57;69;49;49
11;49;57;67;49;49
12;49;56;67;49;49
13;49;56;67;49;49
14;49;56;67;49;49
15;49;57;69;64;49
16;49;66;82;49;49
17;49;57;69;49;49
18;49;57;69;49;49
19;49;57;69;53;49
20;49;58;69;51;49
21;50;57;68;50;49
22;49;57;70;65;49
23;50;68;83;61;49
24;57;64;79;57;49
25;55;61;75;55;49
26;54;60;71;54;49
27;54;60;71;54;49
28;54;60;71;54;49
29;54;60;71;56;49
30;54;61;73;54;49
31;54;60;71;54;49
32;54;60;71;56;49
33;54;61;73;54;49
34;54;60;71;54;49
35;54;60;71;54;49
36;54;59;71;54;49
37;54;60;71;54;49
38;54;60;71;71;49
39;54;71;83;54;49
40;54;60;71;54;49
41;54;60;71;56;49
42;54;61;73;56;49
43;54;61;73;54;49
44;54;59;71;54;49
45;54;60;71;54;49
46;54;59;71;55;49
47;54;60;71;55;49
48;54;60;71;54;49
49;54;60;71;54;49
50;53;61;74;54;49
51;54;60;71;54;49
52;54;60;71;54;49
53;54;60;71;54;49
54;54;59;71;54;49
55;54;60;71;54;49
56;54;59;71;54;49
57;54;60;71;63;49
58;54;67;80;54;49
59;54;60;71;54;49
60;54;60;71;54;49
61;54;60;71;54;49
62;54;59;71;54;49
63;54;60;71;57;49
64;54;61;71;54;49
65;54;60;71;54;49
66;54;59;71;54;49
67;54;60;71;56;49
68;54;61;74;54;49
69;54;60;71;54;49
70;54;59;71;54;49
71;54;60;71;54;49
72;54;59;71;54;49
73;53;61;74;54;49
74;53;61;74;53;49
75;53;60;73;53;49
76;53;60;73;53;49
77;53;60;73;56;49
78;53;62;73;56;49
79;53;61;73;53;49
80;53;60;73;53;49
81;53;60;73;53;49
82;53;60;73;56;49
83;52;60;76;52;49
84;50;56;67;50;49
85;47;56;67;47;47
86;49;55;67;50;47
87;47;56;67;64;47
88;50;67;81;50;47
89;47;56;67;52;47
90;50;56;67;50;47
91;47;56;67;52;47
92;49;57;64;52;47
93;52;57;64;52;47
94;49;56;64;49;47
95;47;56;64;47;47
96;49;55;67;49;47
97;47;56;64;47;47
98;49;55;67;49;47
99;47;56;64;47;47
