Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;0
3;2
4;5
5;6
6;6
7;7
8;12
9;14
10;14
11;10
12;16
13;11
14;10
15;16
16;6
17;9
18;6
19;8
20;7
21;9
22;12
23;13
24;10
25;11
26;4
27;2
28;5
29;5
30;10
31;5
32;5
33;2
34;5
35;7
36;1
37;5
38;5
39;2
40;3
41;4
42;0
43;3
44;5
45;6
46;1
47;5
48;2
49;3
50;6
51;3
52;2
53;5
54;2
55;3
56;3
57;3
58;3
59;0
60;2
61;0
62;4
63;2
64;0
65;3
66;1
67;3
68;2
69;2
70;2
71;1
72;2
73;3
74;2
75;4
76;2
77;2
78;3
79;2
80;6
81;3
82;3
83;3
84;2
85;0
86;2
87;1
88;4
89;0
90;3
91;2
92;2
93;2
94;4
95;2
96;6
97;1
98;1
99;2
