Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;65;80;94;94;82
1;74;89;95;76;76
2;64;76;94;64;64
3;55;67;84;66;64
4;57;69;84;59;59
5;56;64;77;57;57
6;54;62;77;57;57
7;54;62;77;54;54
8;54;61;74;54;54
9;54;61;74;54;54
10;54;61;76;60;54
11;51;62;80;51;51
12;49;56;71;51;51
13;50;56;71;50;50
14;49;56;70;49;49
15;47;56;69;47;47
16;47;55;67;47;47
17;47;55;67;49;47
18;47;55;67;47;47
19;47;55;67;49;47
20;47;57;69;47;47
21;47;55;67;47;47
22;47;55;67;54;47
23;47;61;74;47;47
24;47;55;67;47;47
25;47;55;67;49;47
26;47;57;69;52;47
27;49;59;70;50;47
28;49;58;70;49;47
29;47;57;69;47;47
30;47;55;67;47;47
31;47;55;67;47;47
32;47;55;67;49;47
33;47;57;69;50;47
34;49;58;70;50;47
35;49;57;70;49;47
36;49;57;69;49;47
37;49;57;69;49;47
38;47;56;69;49;47
39;49;57;69;51;47
40;49;57;69;51;47
41;49;57;69;51;47
42;47;57;69;47;47
43;47;55;67;50;47
44;47;56;70;52;47
45;49;57;70;49;47
46;49;57;69;50;47
47;49;57;70;49;47
48;49;57;69;50;47
49;49;57;70;49;47
50;49;57;69;49;47
51;49;56;69;49;47
52;49;57;69;50;47
53;49;57;70;49;47
54;47;56;69;50;47
55;49;57;70;49;47
56;49;57;69;49;47
57;49;56;69;50;47
58;49;57;70;49;47
59;49;56;69;49;47
60;49;57;69;49;47
61;49;56;69;49;47
62;49;57;69;52;47
63;49;57;70;49;47
64;49;57;69;50;47
65;49;57;70;49;47
66;49;57;69;50;47
67;49;57;70;49;47
68;47;56;69;47;47
69;47;55;67;47;47
70;47;55;67;51;47
71;47;57;67;47;47
72;47;55;67;49;47
73;47;56;69;50;47
74;49;56;70;49;47
75;49;56;69;49;47
76;47;56;69;47;47
77;47;55;67;47;47
78;47;55;67;47;47
79;47;55;67;63;47
80;47;66;77;59;47
81;55;63;73;59;47
82;55;63;73;58;47
83;55;62;73;55;47
84;52;60;71;52;47
85;52;59;70;52;47
86;52;59;70;55;47
87;51;60;75;55;47
88;50;60;75;50;47
89;49;56;69;49;47
90;46;55;69;46;46
91;44;53;64;44;44
92;46;53;64;46;44
93;44;53;64;46;44
94;46;53;64;46;44
95;44;53;64;44;44
96;46;53;64;46;44
97;44;53;64;44;44
98;46;53;64;46;44
99;44;53;64;44;44
