Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;75;91;95;81;81
1;69;80;95;69;69
2;60;70;89;66;66
3;59;69;81;64;64
4;56;68;81;64;64
5;56;68;81;56;56
6;52;60;76;52;52
7;47;56;67;47;47
8;49;55;67;59;47
9;47;61;76;47;47
10;49;55;67;49;47
11;47;56;64;52;47
12;49;56;64;52;47
13;52;57;64;52;47
14;50;56;67;50;47
15;47;56;67;47;47
16;49;55;67;51;47
17;47;59;71;55;47
18;51;61;71;51;47
19;47;57;67;47;47
20;49;55;67;49;47
21;47;56;64;47;47
22;49;55;67;50;47
23;47;56;67;47;47
24;49;55;67;49;47
25;47;56;64;47;47
26;49;55;67;49;47
27;47;56;64;47;47
28;49;55;67;50;47
29;47;56;67;47;47
30;49;55;67;51;47
31;47;59;71;47;47
32;49;55;67;49;47
33;47;56;64;47;47
34;49;55;67;50;47
35;47;56;67;47;47
36;49;55;67;49;47
37;47;56;64;47;47
38;49;55;67;51;47
39;47;57;71;47;47
40;49;55;67;50;47
41;47;56;67;52;47
42;49;57;64;49;47
43;47;56;64;47;47
44;49;55;67;49;47
45;47;56;64;47;47
46;49;55;67;51;47
47;47;58;68;67;47
48;51;69;81;63;47
49;53;67;81;63;47
50;49;66;81;49;47
51;47;56;64;47;47
52;49;55;67;59;47
53;47;61;76;66;47
54;59;69;81;59;47
55;47;61;76;47;47
56;49;55;67;52;47
57;47;56;67;47;47
58;49;55;67;49;47
59;47;56;64;52;47
60;49;56;64;52;47
61;50;57;64;50;47
62;49;56;70;49;47
63;47;55;67;47;47
64;47;55;67;47;47
65;47;55;67;47;47
66;47;55;67;47;47
67;47;55;67;50;47
68;47;56;70;47;47
69;47;55;67;47;47
70;47;55;67;47;47
71;47;55;67;47;47
72;47;55;67;47;47
73;47;55;67;47;47
74;47;55;67;47;47
75;47;55;67;47;47
76;47;55;67;67;47
77;47;69;87;47;47
78;47;55;67;47;47
79;47;55;67;47;47
80;47;55;67;49;47
81;47;57;69;47;47
82;47;55;67;47;47
83;47;55;67;47;47
84;47;55;67;47;47
85;47;55;67;49;47
86;47;56;69;47;47
87;47;55;67;47;47
88;47;55;67;47;47
89;47;55;67;47;47
90;47;55;67;47;47
91;47;55;67;54;47
92;47;61;76;66;47
93;54;67;78;54;47
94;47;61;76;47;47
95;47;55;67;57;47
96;47;60;75;47;47
97;47;55;67;47;47
98;47;55;67;47;47
99;47;55;67;54;47
