Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;67;79;92;67;67
1;63;70;82;67;67
2;61;69;82;67;67
3;63;70;82;63;63
4;59;67;80;59;59
5;55;62;69;55;55
6;55;61;69;55;55
7;55;60;69;55;55
8;55;61;69;57;55
9;53;62;74;53;53
10;52;60;73;52;52
11;49;57;64;49;49
12;47;56;64;53;49
13;49;58;73;50;49
14;49;56;70;50;49
15;50;57;70;50;49
16;49;57;70;49;49
17;49;56;69;49;49
18;47;57;69;47;47
19;47;55;67;47;47
20;47;55;67;47;47
21;47;55;67;47;47
22;47;55;67;47;47
23;47;55;67;49;47
24;47;57;69;47;47
25;47;55;67;47;47
26;47;55;67;47;47
27;47;55;67;47;47
28;47;55;67;47;47
29;47;55;67;49;47
30;47;55;67;47;47
31;47;55;67;47;47
32;47;55;67;47;47
33;47;55;67;50;47
34;47;57;70;47;47
35;47;55;67;47;47
36;47;55;67;47;47
37;47;55;67;47;47
38;47;55;67;47;47
39;47;55;67;65;47
40;47;68;85;65;47
41;49;68;85;49;47
42;47;55;67;47;47
43;47;55;67;47;47
44;47;55;67;47;47
45;47;55;67;47;47
46;47;55;67;47;47
47;47;55;67;47;47
48;47;55;67;47;47
49;47;55;67;49;47
50;47;57;69;47;47
51;47;55;67;47;47
52;47;55;67;47;47
53;47;55;67;47;47
54;47;55;67;47;47
55;47;55;67;47;47
56;47;55;67;47;47
57;47;55;67;47;47
58;47;55;67;49;47
59;47;56;69;47;47
60;47;55;67;47;47
61;47;55;67;49;47
62;47;55;67;47;47
63;47;55;67;50;47
64;47;57;70;47;47
65;47;55;67;47;47
66;47;55;67;47;47
67;47;55;67;49;47
68;47;55;67;49;47
69;49;56;69;49;47
70;47;57;69;47;47
71;47;55;67;47;47
72;47;55;67;60;47
73;47;62;80;60;47
74;54;64;80;54;47
75;47;61;74;47;47
76;47;55;67;50;47
77;47;57;70;47;47
78;47;55;67;47;47
79;47;55;67;67;47
80;47;69;87;47;47
81;47;55;67;51;47
82;47;57;71;51;47
83;47;57;71;51;47
84;49;56;71;51;47
85;49;56;71;49;47
86;47;55;67;60;47
87;49;61;80;58;47
88;56;62;76;56;47
89;56;62;76;56;47
90;56;62;76;56;47
91;56;62;76;59;47
92;55;63;76;55;47
93;53;60;75;53;47
94;50;58;73;50;47
95;49;56;70;53;47
96;50;58;73;50;47
97;49;56;70;50;47
98;47;57;70;51;47
99;50;57;71;51;47
