Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;53;63;80;53;53
1;50;58;73;50;50
2;47;57;70;54;50
3;50;58;70;51;50
4;47;57;67;47;47
5;47;55;67;47;47
6;47;55;67;47;47
7;47;55;67;47;47
8;47;55;67;47;47
9;47;55;67;47;47
10;47;55;67;47;47
11;47;55;67;50;47
12;47;56;70;47;47
13;47;55;67;47;47
14;47;55;67;47;47
15;47;55;67;47;47
16;47;55;67;49;47
17;47;56;67;47;47
18;47;55;67;51;47
19;47;57;70;47;47
20;47;55;67;47;47
21;47;55;67;47;47
22;47;55;67;47;47
23;47;55;67;47;47
24;47;55;67;47;47
25;47;55;67;47;47
26;47;55;67;50;47
27;47;56;70;47;47
28;47;55;67;65;47
29;47;68;83;65;47
30;51;68;84;64;47
31;54;67;83;54;47
32;51;61;76;54;47
33;54;61;74;54;47
34;51;61;76;51;47
35;47;56;68;47;47
36;47;55;67;47;47
37;47;55;67;47;47
38;47;55;67;47;47
39;47;55;67;47;47
40;47;55;67;51;47
41;47;57;67;47;47
42;47;55;67;50;47
43;47;56;70;49;47
44;49;57;69;49;47
45;47;56;69;50;47
46;49;57;70;49;47
47;49;57;69;50;47
48;49;57;70;50;47
49;49;58;70;49;47
50;49;57;69;49;47
51;49;57;69;49;47
52;49;57;69;49;47
53;49;57;69;49;47
54;47;56;69;49;47
55;47;56;69;50;47
56;49;57;70;49;47
57;49;57;69;49;47
58;49;56;69;49;47
59;49;57;69;49;47
60;49;56;69;49;47
61;49;57;69;49;47
62;49;56;69;49;47
63;49;57;69;51;47
64;49;57;70;51;47
65;50;58;71;50;47
66;49;57;70;49;47
67;49;57;69;49;47
68;49;57;69;49;47
69;49;57;69;49;47
70;49;57;69;50;47
71;49;57;70;52;47
72;49;58;70;49;47
73;49;57;67;49;47
74;49;56;67;49;47
75;47;56;68;47;47
76;47;56;67;47;47
77;47;56;67;47;47
78;47;56;67;47;47
79;47;56;67;47;47
80;47;56;67;52;47
81;47;57;72;47;47
82;47;56;67;47;47
83;47;56;67;47;47
84;47;56;67;47;47
85;47;56;67;47;47
86;47;56;67;49;47
87;47;57;68;47;47
88;47;56;67;47;47
89;47;56;67;57;47
90;47;61;77;57;47
91;50;62;77;50;47
92;47;57;70;47;47
93;47;56;67;47;47
94;47;56;67;47;47
95;47;56;67;47;47
96;47;56;67;47;47
97;47;56;67;47;47
98;47;56;67;47;47
99;47;56;67;47;47
