Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;65;80;94;83;82
1;66;81;95;83;82
2;65;81;95;65;65
3;59;67;83;69;65
4;57;71;87;69;65
5;61;71;87;65;65
6;59;67;83;62;62
7;58;65;80;66;62
8;62;69;85;65;62
9;56;68;84;66;62
10;59;68;83;82;62
11;64;81;102;72;62
12;63;73;90;80;62
13;69;79;92;80;62
14;69;79;92;80;62
15;69;79;92;69;62
16;63;71;81;69;62
17;63;71;81;71;62
18;65;73;91;68;62
19;60;69;79;71;62
20;65;73;91;65;62
21;59;67;85;60;60
22;56;64;78;56;56
23;54;61;74;55;55
24;53;60;73;54;54
25;53;59;73;55;54
26;53;60;73;53;53
27;53;59;73;57;53
28;53;61;73;58;53
29;56;62;76;68;53
30;58;69;83;68;53
31;56;69;83;68;53
32;56;70;83;64;53
33;52;67;79;76;53
34;56;76;91;56;53
35;55;61;76;66;53
36;56;68;86;67;53
37;60;69;82;67;53
38;60;69;82;63;53
39;60;67;80;63;53
40;60;67;80;63;53
41;56;67;80;66;53
42;58;68;80;61;53
43;56;64;74;65;53
44;56;67;78;56;53
45;53;61;76;53;53
46;52;59;70;52;52
47;48;58;68;55;52
48;51;59;71;52;52
49;48;58;68;55;52
50;51;59;71;56;52
51;53;61;72;53;52
52;52;60;70;53;52
53;52;60;70;57;52
54;53;62;72;53;52
55;52;60;70;56;52
56;53;61;71;56;52
57;53;61;72;60;52
58;54;62;76;54;52
59;53;60;73;53;52
60;51;59;69;51;51
61;47;55;63;59;51
62;51;65;79;74;51
63;57;74;92;74;51
64;57;74;92;74;51
65;59;74;92;74;51
66;62;75;92;74;51
67;62;75;92;74;51
68;62;75;92;77;51
69;63;77;95;86;51
70;71;84;94;84;51
71;72;82;86;72;51
72;63;73;92;72;51
73;63;73;92;74;51
74;65;75;92;68;51
75;57;70;86;74;51
76;65;75;92;84;51
77;74;82;86;74;51
78;65;75;92;76;51
79;61;76;94;76;51
80;65;77;94;65;51
81;54;66;79;54;51
82;53;60;71;71;51
83;54;72;87;87;51
84;69;84;103;87;51
85;69;84;103;87;51
86;67;84;103;75;51
87;59;75;91;74;51
88;58;75;91;78;51
89;62;77;95;77;51
90;59;77;95;77;51
91;59;77;95;77;51
92;62;77;95;76;51
93;66;77;94;66;51
94;58;69;83;76;51
95;66;77;94;76;51
96;68;77;94;76;51
97;68;77;94;94;51
98;76;89;95;95;51
99;75;90;95;75;51
