Numer iteracji;Najlepszy;Sredni;Najgorszy
0;48;74;103
1;47;73;103
2;44;72;103
3;47;72;103
4;47;72;103
5;44;71;103
6;46;71;103
7;47;72;103
8;46;72;103
9;46;71;103
10;46;71;103
11;46;71;103
12;44;71;102
13;46;71;102
14;46;71;103
15;44;70;102
16;47;71;102
17;46;71;103
18;46;72;103
19;47;72;103
20;47;71;102
21;46;72;103
22;47;72;103
23;46;70;95
24;46;69;95
25;47;70;95
26;46;71;103
27;46;71;103
28;47;72;103
29;46;71;103
30;46;72;103
31;46;71;103
32;46;70;103
33;47;72;103
34;46;71;103
35;44;71;103
36;46;72;103
37;44;71;103
38;46;71;102
39;44;70;102
40;46;71;102
41;46;72;103
42;46;71;103
43;46;72;103
44;47;72;103
45;47;71;102
46;44;71;102
47;46;71;95
48;47;71;102
49;46;71;102
50;46;70;102
51;46;72;103
52;46;72;103
53;44;71;103
54;44;71;103
55;46;70;102
56;46;71;103
57;44;71;103
58;46;72;103
59;46;71;103
60;46;71;103
61;46;72;103
62;47;72;103
63;44;71;103
64;46;71;103
65;47;72;103
66;46;72;103
67;46;72;103
68;44;71;103
69;46;72;103
70;46;70;94
71;46;71;103
72;44;71;103
73;46;72;103
74;46;71;102
75;44;71;103
76;46;71;103
77;46;72;103
78;46;71;102
79;46;71;103
80;44;71;103
81;46;71;102
82;46;71;103
83;46;71;103
84;46;71;103
85;46;70;102
86;46;71;103
87;46;71;103
88;46;71;103
89;46;72;103
90;46;71;103
91;46;70;102
92;44;71;103
93;44;71;102
94;46;71;103
95;44;71;103
96;44;71;103
97;47;72;102
98;47;70;95
99;47;71;95
100;47;71;102
