Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;57;74;86;75;75
1;58;74;86;75;75
2;58;74;86;86;75
3;67;82;92;67;67
4;58;69;86;66;66
5;57;69;86;67;66
6;53;70;87;69;66
7;53;69;85;69;66
8;53;69;85;69;66
9;53;69;85;53;53
10;51;58;69;53;53
11;52;58;69;54;53
12;50;56;66;50;50
13;46;55;62;59;50
14;50;62;79;59;50
15;54;63;79;54;50
16;50;56;66;58;50
17;54;61;71;58;50
18;53;61;72;72;50
19;58;72;84;83;50
20;65;81;95;83;50
21;65;81;95;82;50
22;64;80;94;66;50
23;55;68;83;66;50
24;55;68;83;66;50
25;55;68;83;65;50
26;58;68;81;65;50
27;58;68;81;69;50
28;57;71;82;69;50
29;53;70;85;58;50
30;55;63;74;59;50
31;52;63;74;65;50
32;59;67;76;65;50
33;55;67;76;65;50
34;55;67;76;55;50
35;52;61;73;52;50
36;49;58;70;49;49
37;46;54;69;49;49
38;49;55;69;50;49
39;47;56;68;47;47
40;47;55;67;49;47
41;46;55;69;49;47
42;48;56;69;57;47
43;49;62;75;55;47
44;49;61;75;55;47
45;49;61;75;55;47
46;49;61;75;59;47
47;47;62;79;59;47
48;51;62;79;62;47
49;59;66;82;74;47
50;62;75;94;70;47
51;64;72;90;64;47
52;58;67;84;64;47
53;59;67;84;77;47
54;64;76;91;77;47
55;64;76;91;74;47
56;64;74;91;77;47
57;64;76;91;77;47
58;59;76;91;76;47
59;58;75;91;67;47
60;52;69;82;52;47
61;49;57;67;49;47
62;49;57;69;51;47
63;49;57;69;65;47
64;51;67;80;76;47
65;60;75;91;60;47
66;51;63;76;60;47
67;51;63;76;61;47
68;58;64;77;61;47
69;57;64;77;57;47
70;55;61;73;57;47
71;56;62;75;58;47
72;57;62;75;69;47
73;58;69;84;64;47
74;57;67;83;57;47
75;55;61;77;56;47
76;55;62;77;55;47
77;55;61;76;71;47
78;55;72;83;71;47
79;56;71;83;71;47
80;60;72;83;82;47
81;62;80;94;82;47
82;64;80;94;83;47
83;63;81;95;63;47
84;54;66;83;60;47
85;58;64;80;60;47
86;58;64;80;64;47
87;60;68;84;64;47
88;60;68;84;84;47
89;64;82;103;84;47
90;64;82;103;83;47
91;68;82;102;83;47
92;65;81;102;102;47
93;82;95;103;84;47
94;69;83;102;85;47
95;70;84;103;85;47
96;70;84;103;83;47
97;70;83;103;79;47
98;59;77;85;79;47
99;59;77;85;67;47
