Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;64;81;102;64;64
1;54;68;84;64;64
2;55;67;84;64;64
3;55;67;84;74;64
4;62;73;86;74;64
5;62;73;86;74;64
6;62;73;86;74;64
7;63;73;86;80;64
8;69;79;92;80;64
9;69;79;92;69;64
10;63;71;81;69;64
11;63;71;81;69;64
12;63;71;81;63;63
13;55;65;74;55;55
14;54;60;71;55;55
15;55;60;72;57;55
16;55;62;75;57;55
17;55;61;75;55;55
18;55;60;72;55;55
19;55;60;72;55;55
20;54;60;72;71;55
21;55;71;83;73;55
22;57;72;85;69;55
23;65;69;76;69;55
24;65;69;76;69;55
25;65;69;76;67;55
26;63;69;83;63;55
27;59;67;83;63;55
28;59;67;83;63;55
29;59;67;83;59;55
30;57;64;79;59;55
31;55;64;79;55;55
32;55;61;75;59;55
33;55;64;79;79;55
34;59;77;85;59;55
35;55;64;79;59;55
36;57;64;79;63;55
37;59;67;83;63;55
38;60;67;83;63;55
39;60;67;83;67;55
40;63;69;87;79;55
41;67;77;79;79;55
42;67;77;79;79;55
43;67;77;79;79;55
44;67;77;79;79;55
45;67;77;79;79;55
46;69;77;79;77;55
47;63;77;95;77;55
48;63;77;95;77;55
49;63;77;95;77;55
50;61;77;93;61;55
51;57;65;79;61;55
52;57;65;79;61;55
53;51;63;75;61;55
54;51;63;75;73;55
55;59;73;84;73;55
56;59;73;84;84;55
57;64;81;91;73;55
58;59;73;84;80;55
59;67;80;91;83;55
60;71;82;94;80;55
61;67;80;91;80;55
62;68;79;91;80;55
63;68;79;91;80;55
64;63;79;91;71;55
65;59;72;82;82;55
66;67;80;91;69;55
67;61;71;82;61;55
68;57;63;71;59;55
69;55;63;71;61;55
70;57;63;71;57;55
71;54;61;71;61;55
72;57;65;80;61;55
73;57;65;80;65;55
74;57;67;80;57;55
75;53;61;73;57;55
76;53;61;73;57;55
77;53;61;73;53;53
78;50;58;69;53;53
79;50;58;69;68;53
80;53;69;80;68;53
81;57;69;80;57;53
82;53;59;73;54;53
83;53;60;72;57;53
84;54;60;75;66;53
85;57;68;86;67;53
86;56;68;86;68;53
87;56;68;86;56;53
88;47;60;75;61;53
89;56;64;81;61;53
90;55;65;81;61;53
91;55;65;81;63;53
92;55;66;83;63;53
93;55;66;83;63;53
94;60;67;83;67;53
95;60;69;79;60;53
96;54;63;76;56;53
97;52;60;76;52;52
98;50;57;66;63;52
99;47;66;81;52;52
