Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;56;72;84;76;72
1;60;76;93;76;72
2;60;76;93;60;60
3;56;64;79;56;56
4;55;60;72;55;55
5;52;60;71;55;55
6;55;60;71;65;55
7;55;66;77;69;55
8;59;70;88;76;55
9;69;76;93;75;55
10;65;75;84;81;55
11;71;81;93;81;55
12;68;81;93;81;55
13;63;80;93;85;55
14;67;83;87;81;55
15;63;80;93;76;55
16;58;75;83;76;55
17;67;75;84;67;55
18;60;69;84;60;55
19;51;63;77;60;55
20;54;64;77;60;55
21;54;63;77;60;55
22;53;62;80;69;55
23;60;70;89;69;55
24;60;71;89;67;55
25;60;69;87;67;55
26;60;69;87;66;55
27;53;68;86;66;55
28;57;69;81;57;55
29;53;59;66;61;55
30;55;62;70;63;55
31;52;67;81;67;55
32;53;69;81;71;55
33;59;72;85;71;55
34;59;72;85;74;55
35;62;75;94;74;55
36;62;75;94;74;55
37;62;76;94;70;55
38;64;73;90;70;55
39;59;72;90;74;55
40;58;74;86;74;55
41;58;74;86;70;55
42;59;72;90;59;55
43;52;63;77;52;52
44;49;57;70;51;51
45;49;57;69;54;51
46;49;58;72;51;51
47;49;57;69;57;51
48;49;60;75;55;51
49;52;60;75;54;51
50;50;58;67;53;51
51;49;59;72;49;49
52;47;57;67;58;49
53;49;63;74;66;49
54;55;69;82;67;49
55;49;70;83;77;49
56;59;75;85;77;49
57;61;75;85;75;49
58;63;77;95;71;49
59;59;73;91;83;49
60;67;82;103;83;49
61;67;82;103;87;49
62;71;84;87;83;49
63;67;82;103;82;49
64;71;81;102;74;49
65;66;75;90;74;49
66;66;75;90;74;49
67;60;74;94;66;49
68;59;68;86;66;49
69;59;68;86;86;49
70;66;84;94;66;49
71;59;68;86;64;49
72;55;67;84;66;49
73;57;68;84;76;49
74;66;76;94;76;49
75;66;76;94;77;49
76;67;76;95;75;49
77;65;75;95;78;49
78;59;77;92;78;49
79;59;77;92;77;49
80;59;76;92;74;49
81;59;74;92;77;49
82;55;77;95;55;49
83;54;61;77;75;49
84;55;74;95;55;49
85;55;60;75;55;49
86;55;61;75;55;49
87;55;61;75;55;49
88;55;61;75;55;49
89;55;61;75;55;49
90;53;61;75;66;49
91;55;69;83;66;49
92;55;68;86;66;49
93;57;68;86;57;49
94;55;61;77;55;49
95;55;60;75;66;49
96;55;68;86;55;49
97;55;60;75;57;49
98;55;62;75;67;49
99;57;69;83;69;49
