parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;4,322;27,097;0;1;3;6;42;0;21,1;100
0.2;3,502;14,579;0;1;2;5;32;1;19,4;100
0.5;2,03;3,669;0;1;2;3;11;1;26,3;100
0.8;1,749;2,498;0;1;1;2;10;1;30,3;100
1.0;1,723;2,056;0;1;1;2;12;1;33,4;100
1.5;1,519;1,381;0;1;1;2;9;1;37;100
2.0;1,497;1,279;0;1;1;2;6;1;33,3;100
5.0;1,474;1,183;0;1;1;2;6;1;38,1;100
8.0;1,483;1,247;0;1;1;2;6;1;40,5;100
