Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;50;54;63;50;50
1;47;52;60;47;47
2;46;51;57;46;46
3;47;51;56;51;46
4;46;53;61;52;46
5;49;54;62;49;46
6;46;51;59;50;46
7;47;52;60;53;46
8;50;54;63;56;46
9;53;57;66;53;46
10;49;54;63;63;46
11;53;62;73;73;46
12;63;71;78;63;46
13;53;62;73;53;46
14;49;54;63;49;46
15;50;53;59;50;46
16;49;53;60;55;46
17;50;56;65;50;46
18;49;53;60;53;46
19;49;54;63;52;46
20;49;54;62;50;46
21;47;52;60;55;46
22;50;55;65;58;46
23;53;57;68;53;46
24;49;54;63;56;46
25;51;57;66;53;46
26;50;54;63;50;46
27;47;52;60;53;46
28;50;54;63;52;46
29;49;54;62;49;46
30;46;51;59;52;46
31;49;53;62;53;46
32;50;54;63;63;46
33;53;62;73;53;46
34;50;54;63;52;46
35;49;53;62;49;46
36;46;51;59;52;46
37;49;53;62;55;46
38;52;55;65;56;46
39;53;56;66;53;46
40;50;54;63;50;46
41;47;53;60;53;46
42;48;54;63;54;46
43;49;54;64;59;46
44;54;59;69;58;46
45;53;58;68;61;46
46;56;60;71;56;46
47;51;56;66;57;46
48;52;57;67;52;46
49;49;53;62;49;46
50;46;51;59;53;46
51;49;54;63;49;46
52;46;51;59;59;46
53;49;58;69;62;46
54;52;60;72;59;46
55;49;58;69;49;46
56;46;51;59;53;46
57;49;54;63;56;46
58;46;56;66;53;46
59;49;54;63;58;46
60;53;58;68;57;46
61;53;57;67;54;46
62;48;55;64;51;46
63;48;53;61;54;46
64;48;55;64;48;46
65;47;51;58;53;46
66;48;54;63;52;46
67;47;54;62;55;46
68;50;55;65;54;46
69;49;54;64;53;46
70;48;54;63;58;46
71;53;58;68;55;46
72;50;58;65;50;46
73;47;53;60;47;46
74;46;51;57;48;46
75;47;51;58;51;46
76;48;53;61;48;46
77;47;51;58;53;46
78;48;54;63;48;46
79;47;51;58;47;46
80;46;51;57;46;46
81;47;51;56;56;46
82;46;56;66;57;46
83;47;57;67;54;46
84;48;55;64;57;46
85;53;57;67;54;46
86;48;55;64;48;46
87;47;51;58;53;46
88;48;54;63;48;46
89;47;51;58;53;46
90;48;54;63;48;46
91;47;51;58;49;46
92;46;51;59;54;46
93;49;55;64;49;46
94;46;51;59;52;46
95;49;54;62;55;46
96;52;56;65;52;46
97;49;54;62;58;46
98;52;58;68;68;46
99;58;66;73;58;46
