Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;51;57;66;56;56
1;51;57;66;51;51
2;50;53;61;52;51
3;50;54;62;52;51
4;49;54;62;55;51
5;52;57;65;52;51
6;49;54;62;49;49
7;48;52;59;52;49
8;49;54;62;52;49
9;50;54;62;50;49
10;49;53;60;49;49
11;50;53;59;50;49
12;49;53;60;52;49
13;49;53;62;57;49
14;52;56;67;52;49
15;49;53;62;57;49
16;52;57;67;56;49
17;51;56;66;53;49
18;48;54;63;48;48
19;47;51;58;53;48
20;48;54;63;48;48
21;47;51;58;47;47
22;46;51;57;50;47
23;47;52;60;49;47
24;46;51;59;46;46
25;47;51;56;56;46
26;46;56;66;46;46
27;47;51;56;49;46
28;46;51;59;54;46
29;49;54;64;49;46
30;46;51;59;59;46
31;49;59;69;49;46
32;46;51;59;46;46
33;47;51;56;51;46
34;46;54;61;61;46
35;51;59;71;51;46
36;46;54;61;56;46
37;51;58;66;51;46
38;46;54;61;56;46
39;51;58;66;66;46
40;56;64;76;56;46
41;51;58;66;51;46
42;46;54;61;61;46
43;51;59;71;51;46
44;46;54;61;54;46
45;49;55;64;51;46
46;46;54;61;54;46
47;49;55;64;59;46
48;54;59;69;54;46
49;49;55;64;51;46
50;46;54;61;54;46
51;49;55;64;59;46
52;54;59;69;54;46
53;49;55;64;49;46
54;46;51;59;54;46
55;49;55;64;58;46
56;53;58;68;55;46
57;50;56;65;55;46
58;50;56;65;55;46
59;50;56;65;50;46
60;49;53;60;49;46
61;50;53;59;50;46
62;49;53;60;53;46
63;49;54;63;58;46
64;53;58;68;53;46
65;49;54;63;49;46
66;46;51;59;46;46
67;47;51;56;49;46
68;46;51;59;46;46
69;47;51;56;47;46
70;46;51;57;50;46
71;47;52;60;53;46
72;50;54;63;50;46
73;47;53;60;47;46
74;46;51;57;50;46
75;47;52;60;49;46
76;46;51;59;53;46
77;49;54;63;49;46
78;46;51;59;52;46
79;49;53;62;52;46
80;51;54;62;62;46
81;50;61;67;67;46
82;55;64;72;68;46
83;58;66;73;67;46
84;57;65;72;62;46
85;52;61;67;52;46
86;49;54;62;50;46
87;47;52;60;47;46
88;46;51;57;50;46
89;47;52;60;49;46
90;46;51;59;50;46
91;47;52;60;47;46
92;46;51;57;46;46
93;47;51;56;47;46
94;46;51;57;55;46
95;47;55;65;47;46
96;46;51;57;50;46
97;47;52;60;47;46
98;46;51;57;46;46
99;47;51;56;56;46
