Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;46;54;61;54;51
1;49;55;64;49;49
2;46;51;59;46;46
3;47;51;56;56;46
4;46;56;66;59;46
5;49;58;69;49;46
6;46;51;59;52;46
7;49;53;62;49;46
8;46;51;59;46;46
9;47;51;56;51;46
10;46;53;61;46;46
11;47;51;56;49;46
12;46;51;59;59;46
13;49;59;69;64;46
14;54;62;74;54;46
15;49;55;64;53;46
16;48;54;63;48;46
17;47;51;58;53;46
18;48;54;63;50;46
19;47;53;60;47;46
20;46;51;57;50;46
21;47;52;60;53;46
22;49;54;63;56;46
23;48;56;66;48;46
24;47;52;58;49;46
25;48;53;59;52;46
26;49;54;62;49;46
27;48;53;59;53;46
28;49;54;63;50;46
29;47;52;60;52;46
30;50;54;62;50;46
31;47;52;60;55;46
32;50;55;65;52;46
33;47;54;62;53;46
34;48;54;63;48;46
35;47;51;58;53;46
36;48;54;63;52;46
37;47;54;62;60;46
38;52;59;70;55;46
39;47;55;65;58;46
40;48;58;68;55;46
41;47;56;65;58;46
42;48;58;68;61;46
43;51;60;71;64;46
44;54;63;74;61;46
45;51;60;71;66;46
46;56;64;76;63;46
47;53;61;73;58;46
48;48;58;68;48;46
49;47;51;58;47;46
50;46;51;57;52;46
51;47;54;62;55;46
52;50;55;65;52;46
53;47;54;62;47;46
54;46;51;57;57;46
55;47;57;67;47;46
56;46;51;57;55;46
57;47;55;65;52;46
58;49;54;62;57;46
59;52;57;67;52;46
60;49;54;62;49;46
61;50;53;59;53;46
62;49;54;63;49;46
63;50;53;59;52;46
64;49;54;62;50;46
65;47;52;60;53;46
66;49;54;63;63;46
67;53;62;73;68;46
68;58;66;78;58;46
69;53;57;68;68;46
70;58;66;78;67;46
71;57;65;77;57;46
72;52;57;67;54;46
73;49;55;64;59;46
74;54;59;69;60;46
75;55;60;70;70;46
76;60;67;80;65;46
77;55;63;75;60;46
78;50;59;70;57;46
79;47;57;67;60;46
80;50;59;70;63;46
81;53;62;73;60;46
82;50;59;70;50;46
83;47;52;60;47;46
84;46;51;57;46;46
85;47;51;56;51;46
86;46;53;61;56;46
87;51;58;66;51;46
88;46;53;61;61;46
89;51;59;71;64;46
90;54;62;74;65;46
91;55;63;75;75;46
92;65;72;80;72;46
93;62;69;77;67;46
94;57;66;72;72;46
95;62;69;77;75;46
96;65;72;80;70;46
97;60;68;75;67;46
98;57;66;72;70;46
99;60;68;75;73;46
