Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;49;59;69;56;56
1;46;56;66;46;46
2;47;51;56;51;46
3;46;53;61;52;46
4;49;54;62;55;46
5;52;55;65;52;46
6;49;54;62;49;46
7;46;51;59;59;46
8;49;58;69;62;46
9;52;61;72;59;46
10;49;58;69;49;46
11;46;51;59;53;46
12;49;54;63;54;46
13;48;55;64;48;46
14;47;51;58;53;46
15;48;54;63;48;46
16;47;51;58;49;46
17;46;51;59;46;46
18;47;51;56;47;46
19;46;51;57;48;46
20;47;51;58;47;46
21;46;51;57;55;46
22;47;55;65;47;46
23;46;51;57;48;46
24;47;51;58;51;46
25;48;53;61;56;46
26;51;56;66;54;46
27;51;55;64;56;46
28;51;56;66;51;46
29;48;53;61;56;46
30;51;56;66;66;46
31;56;64;76;67;46
32;57;65;77;64;46
33;54;62;74;54;46
34;49;55;64;53;46
35;48;54;63;52;46
36;47;54;62;60;46
37;52;59;70;52;46
38;47;54;62;55;46
39;50;55;65;50;46
40;47;52;60;47;46
41;46;51;57;50;46
42;47;53;60;53;46
43;48;54;63;54;46
44;49;54;64;53;46
45;48;54;63;48;46
46;47;51;58;47;46
47;46;51;57;48;46
48;47;51;58;47;46
49;46;51;57;50;46
50;47;53;60;60;46
51;50;58;70;57;46
52;52;57;67;52;46
53;49;54;62;57;46
54;52;57;67;55;46
55;50;55;65;57;46
56;52;57;67;52;46
57;49;54;62;53;46
58;49;54;63;63;46
59;53;62;68;60;46
60;50;60;65;65;46
61;55;63;70;60;46
62;50;60;65;65;46
63;55;63;70;55;46
64;50;56;65;55;46
65;50;56;65;50;46
66;50;53;60;50;46
67;49;53;60;53;46
68;49;54;63;49;46
69;46;51;59;59;46
70;49;58;69;56;46
71;46;56;66;59;46
72;49;58;69;56;46
73;46;56;66;55;46
74;47;55;65;65;46
75;55;64;70;66;46
76;56;65;71;63;46
77;53;62;68;66;46
78;56;65;71;56;46
79;46;56;66;66;46
80;56;65;71;63;46
81;53;62;68;53;46
82;49;55;63;54;46
83;48;55;64;48;46
84;47;51;58;53;46
85;48;54;63;56;46
86;51;56;66;51;46
87;48;53;61;52;46
88;49;54;62;49;46
89;46;51;59;46;46
90;47;51;56;47;46
91;46;51;57;55;46
92;47;55;65;58;46
93;48;58;68;55;46
94;47;55;65;60;46
95;52;59;70;57;46
96;52;57;67;52;46
97;49;54;62;49;46
98;50;53;59;53;46
99;49;54;63;50;46
