Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;58;62;73;58;58
1;53;58;68;68;58
2;58;66;73;58;58
3;53;58;68;61;58
4;51;59;71;51;51
5;46;54;61;52;51
6;47;54;62;62;51
7;52;60;72;57;51
8;47;57;67;60;51
9;50;59;70;50;50
10;47;53;60;47;47
11;46;51;57;46;46
12;47;51;56;49;46
13;46;51;59;48;46
14;47;51;58;53;46
15;48;54;63;50;46
16;47;53;60;53;46
17;48;54;63;50;46
18;47;53;60;53;46
19;50;54;63;57;46
20;52;57;67;52;46
21;49;54;62;51;46
22;50;53;61;53;46
23;50;54;63;50;46
24;47;52;60;47;46
25;46;51;57;46;46
26;47;51;56;56;46
27;46;56;66;46;46
28;47;51;56;51;46
29;46;54;61;61;46
30;51;59;71;56;46
31;46;56;66;57;46
32;47;57;67;54;46
33;48;55;64;48;46
34;47;51;58;51;46
35;48;53;61;48;46
36;47;51;58;49;46
37;46;51;59;46;46
38;47;51;56;56;46
39;46;56;66;53;46
40;49;54;63;56;46
41;46;56;66;66;46
42;56;65;71;63;46
43;53;62;68;68;46
44;58;65;73;58;46
45;53;58;68;55;46
46;50;56;65;50;46
47;47;53;60;60;46
48;50;60;65;63;46
49;53;62;68;66;46
50;56;65;71;71;46
51;61;68;76;74;46
52;64;71;79;71;46
53;61;68;76;74;46
54;64;71;79;75;46
55;65;72;80;65;46
56;55;63;75;62;46
57;52;60;72;72;46
58;62;69;77;69;46
59;59;66;74;59;46
60;53;58;69;54;46
61;48;55;64;48;46
62;47;51;58;49;46
63;46;51;59;46;46
64;47;51;56;49;46
65;46;51;59;54;46
66;49;55;64;49;46
67;46;51;59;59;46
68;49;58;69;62;46
69;52;61;72;65;46
70;55;64;75;62;46
71;52;61;72;59;46
72;49;58;69;49;46
73;46;51;59;52;46
74;49;53;62;51;46
75;48;53;61;56;46
76;51;56;66;66;46
77;56;64;76;56;46
78;51;56;66;53;46
79;48;54;63;54;46
80;49;54;64;51;46
81;46;53;61;46;46
82;47;51;56;47;46
83;46;51;57;46;46
84;47;51;56;49;46
85;46;51;59;46;46
86;47;51;56;49;46
87;46;51;59;52;46
88;49;53;62;49;46
89;46;51;59;52;46
90;49;53;62;49;46
91;46;51;59;52;46
92;49;53;62;62;46
93;52;61;72;59;46
94;49;59;69;56;46
95;46;56;66;46;46
96;47;51;56;51;46
97;46;54;61;56;46
98;51;58;66;55;46
99;50;58;65;58;46
