Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;23
1;33
2;38
3;32
4;54
5;31
6;38
7;29
8;39
9;34
10;31
11;25
12;26
13;22
14;28
15;27
16;22
17;30
18;18
19;22
20;16
21;18
22;17
23;14
24;18
25;17
26;13
27;15
28;10
29;12
30;14
31;6
32;14
33;11
34;4
35;4
36;9
37;4
38;5
39;10
40;5
41;6
42;6
43;5
44;5
45;6
46;5
47;6
48;6
49;5
50;4
51;10
52;5
53;5
54;4
55;3
56;2
57;3
58;3
59;2
60;4
61;9
62;2
63;3
64;0
65;1
66;2
67;2
68;1
69;1
70;6
71;1
72;0
73;1
74;0
75;2
76;3
77;0
78;0
79;2
80;0
81;1
82;0
83;1
84;1
85;2
86;2
87;1
88;1
89;0
90;2
91;0
92;0
93;1
94;0
95;1
96;1
97;0
98;0
99;1
