Numer iteracji;Najlepszy;Sredni;Najgorszy
0;50;74;103
1;47;72;103
2;47;72;102
3;47;72;103
4;46;70;102
5;46;71;102
6;46;71;103
7;46;69;102
8;44;69;94
9;46;70;102
10;44;69;95
11;44;69;102
12;44;70;94
13;44;69;102
14;44;69;102
15;46;70;102
16;44;69;102
17;44;68;94
18;44;69;102
19;44;69;102
20;44;69;95
21;46;69;95
22;44;69;102
23;44;69;102
24;44;68;94
25;44;68;95
26;44;69;95
27;44;69;95
28;44;68;94
29;44;67;93
30;44;68;95
31;44;69;102
32;44;69;95
33;44;68;94
34;44;69;102
35;44;69;102
36;44;68;102
37;44;69;102
38;44;68;95
39;44;69;102
40;44;69;103
41;44;69;103
42;44;69;94
43;44;68;94
44;44;69;103
45;44;67;95
46;44;69;95
47;44;69;95
48;44;68;103
49;44;70;102
50;44;68;94
51;44;70;103
52;44;68;92
53;44;69;95
54;44;70;102
55;44;69;102
56;44;69;103
57;44;69;102
58;44;69;103
59;46;70;103
60;44;68;103
61;44;67;94
62;44;68;94
63;44;69;95
64;44;68;95
65;46;69;95
66;44;68;95
67;46;70;95
68;44;67;95
69;46;69;95
70;44;70;102
71;44;69;103
72;44;69;103
73;44;69;103
74;44;69;103
75;44;69;103
76;44;69;103
77;44;70;95
78;46;70;102
79;44;69;102
80;46;70;102
81;44;69;102
82;44;69;95
83;44;68;95
84;44;69;95
85;44;69;95
86;44;69;95
87;44;70;95
88;44;70;103
89;44;69;103
90;44;69;94
91;44;68;94
92;44;69;103
93;44;69;95
94;44;69;103
95;44;69;103
96;44;69;95
97;44;69;95
98;44;67;94
99;44;68;102
100;44;70;102
