Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;60;73;86;86;72
1;72;83;87;86;72
2;69;83;87;69;69
3;57;71;86;65;65
4;60;68;82;60;60
5;54;62;78;58;58
6;54;62;78;58;58
7;54;62;78;66;58
8;55;68;86;55;55
9;49;60;75;53;53
10;50;58;68;51;51
11;49;57;69;65;51
12;51;67;83;65;51
13;59;68;83;71;51
14;65;72;80;71;51
15;59;71;82;75;51
16;60;75;86;75;51
17;60;75;86;75;51
18;62;75;86;66;51
19;54;67;78;62;51
20;50;64;74;58;51
21;49;62;70;54;51
22;50;58;66;58;51
23;49;62;70;56;51
24;49;61;70;58;51
25;46;63;74;70;51
26;50;72;87;71;51
27;51;72;87;51;51
28;50;57;71;67;51
29;51;70;87;66;51
30;56;69;86;65;51
31;56;68;85;65;51
32;59;69;85;65;51
33;56;68;85;74;51
34;63;73;82;74;51
35;63;73;82;80;51
36;69;79;92;80;51
37;69;79;92;84;51
38;72;82;86;85;51
39;67;83;87;81;51
40;63;80;93;63;51
41;57;67;81;63;51
42;51;67;81;72;51
43;60;73;90;76;51
44;64;76;94;64;51
45;55;67;84;65;51
46;59;67;85;59;51
47;58;64;79;58;51
48;50;63;78;50;50
49;49;57;69;69;50
50;50;69;85;69;50
51;49;69;85;49;49
52;49;57;69;50;49
53;47;56;68;59;49
54;50;62;78;78;49
55;59;76;86;79;49
56;60;77;84;79;49
57;60;77;84;78;49
58;59;77;88;59;49
59;58;64;78;68;49
60;59;70;82;59;49
61;58;64;78;58;49
62;55;63;78;58;49
63;53;61;71;71;49
64;58;71;81;80;49
65;60;80;94;83;49
66;63;81;94;71;49
67;58;72;83;71;49
68;58;72;83;71;49
69;58;72;83;58;49
70;53;62;72;71;49
71;58;73;88;88;49
72;68;85;102;68;49
73;58;70;88;68;49
74;56;70;88;68;49
75;58;70;88;68;49
76;56;70;88;56;49
77;53;61;74;56;49
78;53;61;72;53;49
79;53;60;71;53;49
80;50;59;71;53;49
81;53;60;71;57;49
82;53;61;73;69;49
83;57;71;84;69;49
84;53;70;82;66;49
85;55;68;81;58;49
86;54;62;74;54;49
87;54;61;74;55;49
88;54;61;75;67;49
89;55;70;87;67;49
90;55;70;87;67;49
91;63;69;84;63;49
92;60;65;80;60;49
93;59;64;80;65;49
94;59;67;83;60;49
95;59;64;80;66;49
96;60;68;83;63;49
97;62;67;83;63;49
98;60;65;80;75;49
99;63;75;92;63;49
