Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;54;74;94;54;54
1;51;61;74;64;54
2;54;67;84;76;54
3;64;76;94;72;54
4;62;73;90;76;54
5;64;76;94;67;54
6;55;69;83;63;54
7;57;66;79;63;54
8;58;66;79;65;54
9;59;67;79;63;54
10;59;67;83;66;54
11;60;67;83;60;54
12;59;64;80;63;54
13;60;65;80;62;54
14;59;65;79;62;54
15;62;66;82;62;54
16;62;66;82;63;54
17;62;66;83;62;54
18;62;66;82;62;54
19;53;66;82;62;54
20;59;66;82;82;54
21;62;81;102;82;54
22;62;81;102;76;54
23;59;75;85;74;54
24;64;73;81;68;54
25;57;70;84;66;54
26;57;69;86;66;54
27;57;69;86;66;54
28;55;69;86;66;54
29;55;69;86;74;54
30;60;75;94;74;54
31;57;75;94;74;54
32;60;75;94;63;54
33;53;67;83;67;54
34;63;69;87;63;54
35;59;67;83;63;54
36;59;67;83;63;54
37;59;67;83;68;54
38;62;70;88;70;54
39;62;71;88;80;54
40;70;79;94;80;54
41;67;79;94;80;54
42;68;79;94;68;54
43;62;70;88;63;54
44;60;67;83;83;54
45;63;82;103;63;54
46;60;67;83;60;54
47;55;63;77;60;54
48;55;63;77;60;54
49;55;63;77;77;54
50;60;75;84;60;54
51;55;63;77;67;54
52;60;69;81;63;54
53;59;65;74;67;54
54;60;69;81;60;54
55;55;63;77;62;54
56;58;65;76;68;54
57;62;70;80;65;54
58;59;67;80;70;54
59;58;70;78;74;54
60;62;75;94;62;54
61;58;66;82;63;54
62;59;66;83;65;54
63;61;68;85;71;54
64;65;71;83;71;54
65;65;71;83;71;54
66;65;72;87;65;54
67;63;68;85;64;54
68;59;67;84;59;54
69;53;62;76;63;54
70;57;64;77;59;54
71;53;62;76;59;54
72;53;62;76;76;54
73;59;75;85;59;54
74;53;62;76;59;54
75;53;62;76;65;54
76;57;69;85;57;54
77;52;61;73;52;52
78;51;57;67;52;52
79;47;56;67;52;52
80;49;56;64;49;49
81;47;56;64;47;47
82;49;55;67;49;47
83;47;56;64;53;47
84;49;60;73;67;47
85;53;69;85;53;47
86;49;60;73;55;47
87;46;57;69;46;46
88;46;54;61;61;46
89;46;65;77;46;46
90;46;54;61;57;46
91;46;62;75;46;46
92;46;54;61;49;46
93;46;54;62;61;46
94;49;65;76;49;46
95;46;54;62;46;46
96;44;53;64;46;46
97;46;53;64;46;46
98;44;53;64;49;46
99;46;54;64;46;46
