Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;67;82;86;84;84
1;67;81;86;84;84
2;69;81;86;84;84
3;72;82;86;72;72
4;61;72;92;73;72
5;55;73;93;75;72
6;58;75;95;87;72
7;70;84;87;87;72
8;71;84;91;87;72
9;70;84;91;83;72
10;66;82;95;83;72
11;66;82;95;83;72
12;63;81;95;77;72
13;61;76;85;61;61
14;59;65;79;63;61
15;61;67;85;68;61
16;62;70;84;68;61
17;62;70;82;65;61
18;59;68;82;68;61
19;59;70;82;59;59
20;53;64;75;59;59
21;53;64;75;59;59
22;53;64;75;59;59
23;53;64;75;53;53
24;47;57;67;53;53
25;50;58;67;62;53
26;53;63;71;53;53
27;50;58;67;53;53
28;46;58;69;59;53
29;52;62;76;56;53
30;53;62;76;53;53
31;50;59;71;66;53
32;53;68;83;66;53
33;53;68;83;67;53
34;57;69;84;67;53
35;59;70;84;66;53
36;58;69;83;66;53
37;53;68;83;66;53
38;55;69;83;66;53
39;53;68;83;76;53
40;56;75;84;76;53
41;56;74;84;56;53
42;53;62;76;56;53
43;53;61;76;76;53
44;56;74;84;56;53
45;53;61;76;56;53
46;53;62;76;53;53
47;50;59;71;57;53
48;53;60;72;53;53
49;51;58;68;52;52
50;52;58;72;53;52
51;52;58;72;55;52
52;53;60;72;55;52
53;54;60;72;54;52
54;51;59;72;61;52
55;54;64;74;58;52
56;57;62;74;70;52
57;58;72;90;90;52
58;70;86;102;102;52
59;82;95;103;82;52
60;70;81;102;70;52
61;62;72;90;63;52
62;59;66;79;59;52
63;55;64;79;59;52
64;55;64;79;59;52
65;57;64;79;63;52
66;59;67;79;63;52
67;58;67;79;67;52
68;62;69;79;71;52
69;67;72;83;75;52
70;62;75;87;71;52
71;67;73;87;67;52
72;63;69;83;67;52
73;63;69;83;66;52
74;63;68;83;63;52
75;54;66;83;63;52
76;54;66;83;83;52
77;63;81;103;63;52
78;54;66;83;83;52
79;63;81;103;67;52
80;51;69;87;65;52
81;50;67;85;74;52
82;60;74;94;74;52
83;60;74;94;61;52
84;52;64;77;61;52
85;52;65;77;52;52
86;50;58;73;51;51
87;49;57;70;52;51
88;50;58;73;51;51
89;50;58;73;51;51
90;49;57;71;52;51
91;49;57;71;52;51
92;50;58;73;51;51
93;50;58;71;50;50
94;49;57;68;63;50
95;50;66;80;50;50
96;49;57;68;52;50
97;50;57;72;53;50
98;52;58;72;53;50
99;53;58;69;57;50
