Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;66;81;91;66;66
1;58;68;84;72;66
2;62;73;90;72;66
3;60;73;90;70;66
4;57;72;90;70;66
5;60;72;90;90;66
6;70;87;102;77;66
7;60;76;90;69;66
8;63;70;79;77;66
9;58;76;91;77;66
10;58;76;91;77;66
11;65;76;91;77;66
12;65;76;91;65;65
13;58;67;79;79;65
14;61;79;91;79;65
15;62;79;91;79;65
16;62;79;91;79;65
17;61;79;91;83;65
18;65;82;94;83;65
19;65;82;94;83;65
20;67;82;94;83;65
21;67;82;94;73;65
22;59;73;83;83;65
23;63;82;94;83;65
24;63;81;92;83;65
25;63;81;92;83;65
26;63;82;94;71;65
27;58;72;83;71;65
28;61;72;83;71;65
29;58;72;83;58;58
30;55;63;77;58;58
31;52;62;74;70;58
32;58;72;83;64;58
33;52;65;76;61;58
34;49;65;79;59;58
35;47;64;79;55;55
36;50;61;75;50;50
37;47;57;70;57;50
38;50;62;77;50;50
39;47;57;70;51;50
40;50;57;71;50;50
41;47;57;70;67;50
42;50;69;87;69;50
43;52;70;87;67;50
44;59;68;85;59;50
45;53;61;73;73;50
46;57;72;84;57;50
47;51;61;75;51;50
48;49;56;67;49;49
49;49;57;69;49;49
50;49;56;69;49;49
51;49;57;69;50;49
52;49;57;70;49;49
53;49;57;69;63;49
54;49;67;81;63;49
55;52;67;81;70;49
56;61;72;90;82;49
57;62;81;102;69;49
58;61;71;86;70;49
59;58;72;86;69;49
60;61;71;86;61;49
61;52;64;77;60;49
62;51;63;76;61;49
63;58;64;77;58;49
64;54;61;73;57;49
65;54;62;77;54;49
66;46;58;71;55;49
67;47;59;71;52;49
68;44;57;68;56;49
69;49;59;70;52;49
70;44;57;68;64;49
71;52;66;80;68;49
72;56;69;80;56;49
73;49;59;70;49;49
74;44;55;69;44;44
75;46;53;64;47;44
76;44;54;64;51;44
77;47;56;67;47;44
78;46;54;64;53;44
79;47;58;69;53;44
80;49;58;67;53;44
81;52;58;67;53;44
82;49;57;67;51;44
83;47;55;63;48;44
84;44;56;67;51;44
85;48;56;69;48;44
86;44;56;67;51;44
87;47;56;67;51;44
88;49;56;69;49;44
89;47;55;69;47;44
90;44;54;64;44;44
91;46;53;64;53;44
92;44;59;72;44;44
93;46;53;64;53;44
94;44;59;72;53;44
95;46;59;72;72;44
96;53;71;84;82;44
97;69;81;102;82;44
98;69;81;102;102;44
99;82;95;103;102;44
