Numer iteracji;Najlepszy;Sredni;Najgorszy
0;46;64;85
1;46;63;80
2;46;60;76
3;46;57;69
4;46;55;66
5;46;55;63
6;46;54;62
7;46;54;63
8;46;54;64
9;46;53;60
10;46;54;63
11;46;54;67
12;46;54;63
13;46;53;61
14;46;53;62
15;46;52;58
16;46;53;60
17;46;54;62
18;46;54;61
19;46;53;62
20;46;54;65
21;46;54;69
22;46;53;61
23;46;53;64
24;46;53;61
25;46;53;64
26;46;53;61
27;46;53;61
28;46;53;60
29;46;53;60
30;46;53;63
31;46;55;64
32;46;53;61
33;46;53;60
34;46;53;60
35;46;54;61
36;46;53;64
37;46;53;59
38;46;53;60
39;46;54;61
40;46;53;64
41;46;53;59
42;46;52;60
43;46;52;59
44;46;54;61
45;46;53;60
46;46;53;59
47;46;53;62
48;46;54;61
49;46;52;60
50;46;52;59
51;46;54;61
52;46;54;64
53;46;54;62
54;46;53;60
55;46;54;65
56;46;54;64
57;46;53;60
58;46;53;60
59;46;53;61
60;46;54;65
61;46;54;61
62;46;53;61
63;46;53;63
64;46;54;65
65;46;54;62
66;46;53;61
67;46;54;61
68;46;54;64
69;46;54;69
70;46;53;63
71;46;53;66
72;46;53;60
73;46;54;61
74;46;54;64
75;46;53;59
76;46;54;62
77;46;53;60
78;46;53;59
79;46;53;61
80;46;53;61
81;46;53;63
82;46;53;61
83;46;54;62
84;46;54;65
85;46;53;64
86;46;54;61
87;46;55;70
88;46;55;66
89;46;53;59
90;46;52;60
91;46;53;61
92;46;53;61
93;46;54;64
94;46;53;61
95;46;54;66
96;46;54;65
97;46;52;61
98;46;53;60
99;46;52;57
100;46;54;61
