Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;20
1;74
2;178
3;180
4;138
5;87
6;70
7;46
8;27
9;23
10;9
11;14
12;5
13;11
14;3
15;8
16;4
17;8
18;5
19;9
20;2
21;0
22;0
23;2
24;1
25;1
26;2
27;2
28;2
29;3
30;0
31;5
32;2
33;4
34;2
35;0
36;1
37;1
38;0
39;1
40;0
41;0
42;1
43;0
44;2
45;1
46;0
47;1
48;0
49;2
50;2
51;1
52;0
53;1
54;0
55;2
56;0
57;2
58;0
59;0
60;1
61;1
62;2
63;0
64;2
65;0
66;0
67;0
68;1
69;0
70;0
71;0
72;1
73;3
74;1
75;0
76;0
77;2
78;0
79;0
80;2
81;2
82;0
83;0
84;1
85;0
86;0
87;2
88;0
89;1
90;0
91;1
92;1
93;0
94;0
95;0
96;0
97;0
98;1
99;0
