parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;28,964;611,510;0;10,250;21,000;40,000;100;4;3,200;97,200
0.2;15,945;175,063;0;6,000;12,000;22,000;100;7;5,400;99,900
0.5;9,705;96,671;0;4,000;7,000;12,000;100;5;8,900;99,900
0.8;8,948;134,232;0;3,000;6,000;10,000;100;3;12,800;99,800
1.0;8,529;123,577;0;3,000;5,000;9,000;100;4;12,400;99,600
1.5;10,167;247,521;0;3,000;5,000;9,000;100;3;15,500;98,800
2.0;14,134;528,551;0;3,000;5,000;12,000;100;3;13,900;96,500
5.0;31,425;1733,472;0;3,000;5,000;85,000;100;100;23,900;76,100
8.0;38,930;2122,003;0;3,000;5,000;100,000;100;100;35,600;64,400
