parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;27,198;476,812;1;10,750;21,000;39,000;100;4;3,326;100,000
0.2;16,070;167,007;1;7,000;12,000;22,000;88;7;5,477;100,000
0.5;9,712;88,541;1;4,000;7,000;12,000;95;5;8,999;100,000
0.8;8,827;118,123;1;3,000;6,000;10,000;97;3;12,916;100,000
1.0;8,236;90,513;1;3,000;5,000;9,000;88;4;12,563;100,000
1.5;9,104;151,432;1;3,000;5,000;9,000;100;3;15,736;100,000
2.0;11,112;271,578;1;3,000;5,000;11,000;99;3;14,525;100,000
5.0;10,007;338,174;1;3,000;4,000;6,000;98;3;19,415;100,000
8.0;5,219;91,123;1;2,000;3,000;5,000;98;2;21,787;100,000
