parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;29,257;609,125;1;11,000;21,000;40,250;100;4;3,232;97,172
0.2;16,155;173,975;1;7,000;12,000;22,000;100;7;5,471;99,899
0.5;9,803;96,686;1;4,000;7,000;12,000;100;5;8,990;99,899
0.8;9,011;134,610;1;3,000;6,000;10,000;100;3;12,890;99,799
1.0;8,606;124,033;1;3,000;5,000;9,000;100;4;12,513;99,596
1.5;10,198;247,954;1;3,000;5,000;9,000;100;3;15,547;98,796
2.0;14,248;531,192;1;3,000;5,000;12,000;100;3;14,012;96,472
5.0;31,710;1740,172;1;3,000;5,000;86,000;100;100;24,117;75,883
8.0;39,165;2125,612;1;3,000;5,000;100,000;100;100;35,815;64,185
