parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;26,918;479,441;0;10,000;20,000;39,000;100;4;3,292;100,000
0.2;15,861;168,152;0;6,000;12,000;22,000;88;7;5,405;100,000
0.5;9,615;88,590;0;4,000;7,000;12,000;95;5;8,909;100,000
0.8;8,766;117,837;0;3,000;6,000;10,000;97;3;12,826;100,000
1.0;8,162;90,302;0;3,000;5,000;9,000;88;4;12,450;100,000
1.5;9,076;151,223;0;3,000;5,000;9,000;100;3;15,688;100,000
2.0;11,020;270,341;0;3,000;5,000;10,500;99;3;14,404;100,000
5.0;9,888;335,341;0;2,000;4,000;6,000;98;3;19,185;100,000
8.0;5,171;90,524;0;2,000;3,000;5,000;98;2;21,584;100,000
