Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;4
3;4
4;15
5;19
6;20
7;21
8;17
9;12
10;4
11;4
12;0
13;1
14;1
15;1
16;1
17;0
18;1
19;0
20;1
21;0
22;0
23;1
24;0
25;1
26;0
27;0
28;1
29;1
30;1
31;2
32;0
33;0
34;0
35;0
36;1
37;1
38;0
39;1
40;1
41;0
42;0
43;2
44;0
45;1
46;0
47;1
48;2
49;0
50;1
51;1
52;0
53;1
54;0
55;0
56;0
57;1
58;1
59;1
60;2
61;0
62;0
63;2
64;0
65;0
66;2
67;1
68;1
69;0
70;0
71;0
72;1
73;0
74;2
75;0
76;0
77;0
78;1
79;1
80;0
81;0
82;1
83;2
84;0
85;1
86;0
87;0
88;0
89;1
90;0
91;1
92;3
93;1
94;0
95;1
96;0
97;0
98;0
99;1
