Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;9;11;12;12;11
1;10;11;13;11;11
2;9;11;12;10;10
3;9;11;11;11;10
4;9;11;12;10;10
5;9;11;11;11;10
6;9;11;12;10;10
7;9;11;11;11;10
8;10;11;12;10;10
9;9;11;11;10;10
10;9;10;11;11;10
11;10;11;12;10;10
12;9;10;11;10;10
13;9;10;11;10;10
14;9;10;11;10;10
15;9;10;12;9;9
16;9;10;11;10;9
17;9;10;11;10;9
18;9;10;11;10;9
19;9;10;11;10;9
20;9;10;11;11;9
21;10;11;12;10;9
22;9;10;11;10;9
23;9;10;11;11;9
24;9;10;12;10;9
25;9;10;11;10;9
26;9;10;11;11;9
27;10;11;12;10;9
28;9;10;11;10;9
29;9;10;11;10;9
30;9;10;11;10;9
31;9;10;11;10;9
32;9;10;11;11;9
33;10;11;12;10;9
34;9;10;11;11;9
35;10;11;12;10;9
36;9;10;12;9;9
37;9;10;11;10;9
38;9;10;12;9;9
39;9;10;11;10;9
40;9;10;12;10;9
41;9;10;11;11;9
42;10;11;12;10;9
43;9;10;11;9;9
44;9;10;10;9;9
45;9;10;11;11;9
46;9;11;12;10;9
47;9;11;11;9;9
48;9;10;10;9;9
49;9;10;11;10;9
50;9;10;11;10;9
51;9;10;11;11;9
52;10;11;12;12;9
53;11;12;13;11;9
54;10;11;12;10;9
55;9;10;11;10;9
56;9;10;11;9;9
57;9;10;10;10;9
58;9;10;11;9;9
59;9;10;10;9;9
60;9;10;10;10;9
61;9;10;11;9;9
62;9;10;10;9;9
63;9;10;11;10;9
64;9;10;11;9;9
65;9;9;10;9;9
66;9;10;11;10;9
67;9;10;12;9;9
68;9;10;11;10;9
69;9;10;12;11;9
70;10;11;12;10;9
71;9;10;11;11;9
72;10;11;12;12;9
73;11;11;13;11;9
74;10;11;12;10;9
75;9;10;11;10;9
76;9;10;11;11;9
77;10;11;12;12;9
78;11;11;13;11;9
79;10;10;12;10;9
80;9;10;11;9;9
81;9;10;11;9;9
82;9;9;10;9;9
83;9;10;11;9;9
84;9;9;10;9;9
85;9;10;11;11;9
86;9;11;12;10;9
87;9;11;11;9;9
88;9;10;10;10;9
89;9;10;11;11;9
90;10;11;12;10;9
91;9;10;11;11;9
92;10;11;12;12;9
93;11;12;13;11;9
94;10;11;12;12;9
95;11;12;13;11;9
96;10;11;12;10;9
97;9;11;11;11;9
98;9;11;12;12;9
99;10;11;13;11;9
