Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;10;11;13;12;11
1;11;12;14;11;11
2;10;11;13;10;10
3;9;10;12;9;9
4;9;10;11;10;9
5;9;10;12;11;9
6;10;11;13;12;9
7;11;12;14;11;9
8;10;11;13;10;9
9;9;10;12;11;9
10;10;11;13;12;9
11;11;12;13;11;9
12;10;11;12;10;9
13;9;10;11;9;9
14;9;10;10;10;9
15;9;10;11;9;9
16;9;10;11;9;9
17;9;10;10;9;9
18;9;9;10;10;9
19;9;10;11;9;9
20;9;9;10;10;9
21;9;10;11;9;9
22;9;9;10;9;9
23;9;10;10;10;9
24;9;10;11;9;9
25;9;9;10;9;9
26;9;9;10;9;9
27;9;10;11;9;9
28;9;10;10;10;9
29;9;10;11;11;9
30;10;11;12;10;9
31;9;10;11;11;9
32;10;11;12;10;9
33;9;10;11;9;9
34;9;10;10;9;9
35;9;10;12;10;9
36;9;10;12;9;9
37;9;10;12;10;9
38;9;10;13;11;9
39;10;11;14;11;9
40;10;11;12;11;9
41;10;11;13;10;9
42;9;10;12;11;9
43;10;11;12;10;9
44;9;10;12;9;9
45;9;10;11;9;9
46;9;10;10;9;9
47;9;9;10;9;9
48;9;10;11;10;9
49;9;10;12;9;9
50;9;10;11;10;9
51;9;10;12;11;9
52;10;11;13;12;9
53;11;12;14;11;9
54;10;11;13;12;9
55;11;12;14;11;9
56;10;11;13;12;9
57;11;12;14;13;9
58;12;13;15;12;9
59;11;12;14;11;9
60;10;11;13;10;9
61;9;10;12;11;9
62;10;11;12;10;9
63;9;10;11;11;9
64;10;11;12;10;9
65;9;10;12;9;9
66;9;10;11;10;9
67;9;10;11;9;9
68;9;9;10;10;9
69;9;10;11;9;9
70;9;10;11;9;9
71;9;9;10;9;9
72;9;10;11;10;9
73;9;10;12;9;9
74;9;10;11;9;9
75;9;9;10;9;9
76;9;9;10;9;9
77;9;10;10;10;9
78;9;10;11;11;9
79;10;11;12;12;9
80;11;12;13;12;9
81;11;12;13;11;9
82;10;11;12;10;9
83;9;10;12;11;9
84;10;11;12;10;9
85;9;10;12;12;9
86;10;11;13;10;9
87;9;10;12;9;9
88;9;10;11;9;9
89;9;9;10;10;9
90;9;10;11;9;9
91;9;9;10;9;9
92;9;10;11;9;9
93;9;9;10;9;9
94;9;10;11;10;9
95;9;10;11;11;9
96;10;11;12;10;9
97;9;10;12;9;9
98;9;10;11;9;9
99;9;10;10;9;9
