Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;9
1;56
2;126
3;146
4;121
5;92
6;62
7;27
8;15
9;5
10;4
11;1
12;1
13;1
14;0
15;1
16;2
17;0
18;1
19;0
20;2
21;2
22;1
23;2
24;1
25;3
26;1
27;1
28;0
29;1
30;2
31;1
32;1
33;0
34;2
35;3
36;2
37;2
38;1
39;0
40;2
41;0
42;1
43;0
44;2
45;1
46;2
47;5
48;2
49;3
50;1
51;0
52;0
53;3
54;0
55;2
56;1
57;0
58;0
59;0
60;1
61;0
62;1
63;2
64;0
65;1
66;0
67;2
68;1
69;1
70;2
71;0
72;2
73;0
74;1
75;1
76;2
77;1
78;1
79;4
80;1
81;2
82;0
83;0
84;0
85;3
86;1
87;0
88;3
89;0
90;0
91;1
92;2
93;0
94;0
95;0
96;0
97;1
98;1
99;0
