Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;7
1;46
2;87
3;128
4;126
5;98
6;76
7;73
8;49
9;49
10;30
11;31
12;28
13;26
14;10
15;21
16;12
17;9
18;6
19;9
20;3
21;5
22;5
23;4
24;6
25;1
26;2
27;0
28;1
29;5
30;3
31;2
32;2
33;4
34;1
35;4
36;1
37;1
38;1
39;1
40;0
41;0
42;2
43;2
44;1
45;0
46;1
47;1
48;1
49;1
50;0
51;0
52;0
53;2
54;1
55;0
56;1
57;2
58;0
59;1
60;0
61;1
62;0
63;0
64;0
65;0
66;1
67;1
68;1
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;0
78;0
79;0
80;0
81;0
82;0
83;0
84;0
85;1
86;0
87;0
88;0
89;0
90;0
91;0
92;0
93;0
94;0
95;2
96;1
97;1
98;0
99;0
