Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;6
1;49
2;139
3;135
4;98
5;79
6;53
7;34
8;21
9;6
10;6
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;1
26;0
27;2
28;0
29;1
30;1
31;1
32;0
33;0
34;0
35;1
36;0
37;0
38;0
39;1
40;1
41;0
42;0
43;0
44;0
45;0
46;0
47;0
48;0
49;0
50;0
51;0
52;1
53;0
54;0
55;0
56;0
57;0
58;0
59;0
60;1
61;1
62;0
63;0
64;0
65;0
66;0
67;0
68;0
69;0
70;0
71;0
72;0
73;0
74;0
75;0
76;0
77;2
78;0
79;0
80;0
81;0
82;0
83;0
84;1
85;0
86;0
87;0
88;0
89;1
90;0
91;0
92;1
93;0
94;0
95;0
96;0
97;0
98;1
99;0
