Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;93;96;101;93;93
1;89;93;101;89;89
2;85;89;97;85;85
3;84;87;93;84;84
4;82;87;90;82;82
5;84;85;86;84;82
6;82;87;90;82;82
7;84;85;86;84;82
8;82;87;90;82;82
9;84;85;86;84;82
10;82;87;90;82;82
11;84;85;86;84;82
12;82;87;90;82;82
13;84;85;86;84;82
14;82;87;90;82;82
15;84;85;86;84;82
16;82;87;90;82;82
17;84;85;86;84;82
18;82;87;90;82;82
19;84;85;86;84;82
20;82;87;90;82;82
21;84;85;86;84;82
22;82;87;90;82;82
23;84;85;86;84;82
24;82;87;90;82;82
25;84;85;86;84;82
26;82;87;90;82;82
27;84;85;86;84;82
28;82;87;90;82;82
29;84;85;86;84;82
30;82;87;90;82;82
31;84;85;86;84;82
32;82;87;90;82;82
33;84;85;86;84;82
34;82;87;90;82;82
35;84;85;86;84;82
36;82;87;90;82;82
37;84;85;86;84;82
38;82;87;90;82;82
39;84;85;86;84;82
40;82;87;90;82;82
41;84;85;86;84;82
42;82;87;90;82;82
43;84;85;86;84;82
44;82;87;90;82;82
45;84;85;86;84;82
46;82;87;90;82;82
47;84;85;86;84;82
48;82;87;90;82;82
49;84;85;86;84;82
50;82;87;90;82;82
51;84;85;86;84;82
52;82;87;90;82;82
53;84;85;86;84;82
54;82;87;90;82;82
55;84;85;86;84;82
56;82;87;90;82;82
57;84;85;86;84;82
58;82;87;90;82;82
59;84;85;86;84;82
60;82;87;90;82;82
61;84;85;86;84;82
62;82;87;90;82;82
63;84;85;86;84;82
64;82;87;90;82;82
65;84;85;86;84;82
66;82;87;90;82;82
67;84;85;86;84;82
68;82;87;90;82;82
69;84;85;86;84;82
70;81;86;88;81;81
71;84;84;85;84;81
72;81;87;88;81;81
73;84;84;85;84;81
74;81;87;88;81;81
75;84;84;85;84;81
76;81;87;88;81;81
77;84;84;85;84;81
78;81;87;88;81;81
79;84;84;85;84;81
80;81;87;88;81;81
81;84;84;85;84;81
82;81;87;88;81;81
83;84;84;85;84;81
84;81;87;88;81;81
85;84;84;85;84;81
86;81;87;88;81;81
87;84;84;85;84;81
88;81;87;88;81;81
89;84;84;85;84;81
90;81;87;88;81;81
91;84;84;85;84;81
92;81;87;88;81;81
93;84;84;85;84;81
94;81;87;88;81;81
95;84;84;85;84;81
96;81;87;88;81;81
97;84;84;85;84;81
98;81;87;88;81;81
99;84;84;85;84;81
