Numer iteracji;Najlepszy;Wybrany
0;52;52
1;49;49
2;50;50
3;49;49
4;50;50
5;49;49
6;50;50
7;49;49
8;50;50
9;49;49
10;50;50
11;49;49
12;50;50
13;49;49
14;50;50
15;49;49
16;50;50
17;49;49
18;50;50
19;49;49
20;50;50
21;49;49
22;50;50
23;49;49
24;50;50
25;49;49
26;50;50
27;49;49
28;50;50
29;49;49
30;50;50
31;49;49
32;50;50
33;49;49
34;50;50
35;49;49
36;50;50
37;49;51
38;48;48
39;49;49
40;48;48
41;49;49
42;48;48
43;49;49
44;48;48
45;49;49
46;48;48
47;49;49
48;48;48
49;49;49
50;48;48
51;49;49
52;48;50
53;49;49
54;48;48
55;49;49
56;48;48
57;49;49
58;48;48
59;49;49
60;48;48
61;49;49
62;48;48
63;49;49
64;48;48
65;49;49
66;48;48
67;49;49
68;48;48
69;49;49
70;48;48
71;49;49
72;48;50
73;49;49
74;48;48
75;49;49
76;48;48
77;49;49
78;48;48
79;49;49
80;48;48
81;49;49
82;48;48
83;49;49
84;48;48
85;49;49
86;48;48
87;49;49
88;48;48
89;49;49
90;48;48
91;49;49
92;48;48
93;49;49
94;48;48
95;49;49
96;48;48
97;49;49
98;48;48
99;49;49
