Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;55;59;70;55;55
1;52;56;65;52;52
2;50;54;62;50;50
3;49;53;60;49;49
4;48;52;59;48;48
5;49;52;58;49;48
6;48;52;59;48;48
7;49;52;58;49;48
8;48;52;59;48;48
9;49;52;58;49;48
10;48;52;59;48;48
11;49;52;58;49;48
12;48;52;59;48;48
13;49;52;58;49;48
14;48;52;59;48;48
15;49;52;58;49;48
16;48;52;57;48;48
17;49;52;58;49;48
18;48;52;57;48;48
19;49;52;58;49;48
20;48;52;59;48;48
21;49;52;58;49;48
22;48;52;59;48;48
23;49;52;58;49;48
24;48;52;57;48;48
25;49;52;58;49;48
26;48;52;59;48;48
27;49;52;58;49;48
28;48;52;59;48;48
29;49;52;58;49;48
30;48;52;59;50;48
31;49;53;60;49;48
32;48;52;59;50;48
33;49;53;60;49;48
34;50;53;59;50;48
35;49;53;60;49;48
36;50;53;59;50;48
37;49;53;60;49;48
38;50;53;59;50;48
39;49;53;60;49;48
40;50;53;59;50;48
41;49;53;60;49;48
42;50;53;59;50;48
43;49;53;60;49;48
44;50;53;59;50;48
45;49;53;60;49;48
46;50;53;59;53;48
47;49;54;63;49;48
48;48;52;59;48;48
49;47;52;58;49;48
50;48;52;59;48;48
51;47;52;58;47;47
52;48;51;57;48;47
53;47;52;58;49;47
54;48;52;59;48;47
55;47;52;58;47;47
56;48;51;57;48;47
57;47;52;58;47;47
58;48;51;57;48;47
59;47;52;58;49;47
60;48;52;59;48;47
61;47;52;58;49;47
62;48;52;59;54;47
63;49;55;64;49;47
64;48;52;59;48;47
65;47;52;58;47;47
66;48;51;57;48;47
67;47;52;58;49;47
68;48;53;59;48;47
69;47;52;58;47;47
70;48;51;57;48;47
71;47;52;58;47;47
72;48;51;57;48;47
73;47;52;58;47;47
74;48;51;57;48;47
75;47;52;58;47;47
76;48;51;57;48;47
77;47;52;58;49;47
78;48;52;59;48;47
79;47;52;58;47;47
80;48;51;57;48;47
81;47;52;58;47;47
82;48;51;57;48;47
83;47;52;58;47;47
84;48;51;57;50;47
85;47;53;60;47;47
86;48;51;57;55;47
87;47;55;65;47;47
88;48;51;57;48;47
89;47;52;58;47;47
90;48;51;57;50;47
91;47;53;60;49;47
92;48;53;59;48;47
93;47;52;58;47;47
94;48;51;57;48;47
95;47;52;58;47;47
96;48;51;57;50;47
97;47;53;60;47;47
98;48;51;57;48;47
99;47;52;58;47;47
