Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;20
1;81
2;213
3;232
4;151
5;75
6;26
7;18
8;4
9;8
10;1
11;2
12;1
13;1
14;2
15;1
16;1
17;1
18;0
19;1
20;2
21;0
22;2
23;1
24;1
25;2
26;1
27;1
28;1
29;0
30;0
31;0
32;0
33;2
34;0
35;0
36;0
37;1
38;0
39;1
40;0
41;0
42;0
43;0
44;0
45;0
46;1
47;2
48;1
49;1
50;0
51;1
52;2
53;0
54;0
55;0
56;1
57;1
58;0
59;0
60;1
61;0
62;0
63;0
64;1
65;0
66;0
67;0
68;0
69;1
70;1
71;1
72;1
73;2
74;0
75;2
76;0
77;0
78;1
79;0
80;0
81;0
82;0
83;0
84;0
85;0
86;0
87;0
88;0
89;0
90;0
91;0
92;1
93;0
94;0
95;1
96;0
97;0
98;0
99;0
