Numer iteracji;Najlepszy;Sredni;Najgorszy
0;46;65;85
1;46;60;76
2;46;55;71
3;46;53;66
4;46;52;63
5;46;51;56
6;46;51;57
7;46;51;57
8;46;50;56
9;46;51;57
10;46;52;61
11;46;51;60
12;46;50;56
13;46;51;55
14;46;50;56
15;46;50;56
16;46;52;59
17;46;52;58
18;46;51;56
19;46;50;55
20;46;50;56
21;46;51;56
22;46;51;57
23;46;52;58
24;46;51;56
25;46;51;56
26;46;52;59
27;46;52;58
28;46;51;56
29;46;52;59
30;46;51;56
31;46;51;57
32;46;51;57
33;46;51;57
34;46;50;54
35;46;50;55
36;46;51;57
37;46;50;56
38;46;50;55
39;46;50;56
40;46;52;62
41;46;50;55
42;46;51;59
43;46;51;57
44;46;52;57
45;46;52;57
46;46;52;58
47;46;51;57
48;46;50;56
49;46;51;57
50;46;51;60
51;46;52;58
52;46;51;57
53;46;50;56
54;46;52;61
55;46;51;57
56;46;52;60
57;46;50;55
58;46;51;57
59;46;52;60
60;46;51;61
61;46;51;57
62;46;50;56
63;46;52;60
64;46;51;59
65;46;51;57
66;46;51;57
67;46;51;58
68;46;50;53
69;46;50;56
70;46;51;56
71;46;50;55
72;46;51;57
73;46;52;66
74;46;51;56
75;46;51;57
76;46;50;56
77;46;50;56
78;46;52;58
79;46;52;59
80;46;50;56
81;46;49;55
82;46;50;56
83;46;52;60
84;46;50;56
85;46;51;57
86;46;51;57
87;46;53;60
88;46;50;56
89;46;51;57
90;46;51;57
91;46;51;58
92;46;51;57
93;46;51;57
94;46;52;60
95;46;51;57
96;46;50;56
97;46;51;56
98;46;51;57
99;46;50;55
100;46;50;56
