Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;0
3;5
4;6
5;7
6;13
7;13
8;20
9;8
10;16
11;15
12;9
13;12
14;8
15;17
16;7
17;6
18;12
19;7
20;6
21;7
22;9
23;10
24;9
25;8
26;4
27;7
28;11
29;5
30;2
31;2
32;3
33;4
34;3
35;6
36;4
37;4
38;3
39;4
40;4
41;4
42;5
43;2
44;4
45;5
46;2
47;3
48;1
49;3
50;1
51;4
52;6
53;4
54;1
55;1
56;1
57;2
58;0
59;2
60;2
61;1
62;1
63;2
64;0
65;1
66;0
67;1
68;0
69;3
70;1
71;3
72;2
73;1
74;0
75;0
76;0
77;3
78;0
79;3
80;1
81;0
82;1
83;1
84;3
85;2
86;3
87;0
88;1
89;1
90;4
91;3
92;2
93;0
94;2
95;2
96;0
97;0
98;0
99;0
