Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;55;69;81;67;67
1;55;69;81;61;61
2;51;63;75;57;57
3;53;62;75;53;53
4;50;58;73;53;53
5;50;58;73;50;50
6;49;56;70;50;50
7;49;56;70;49;49
8;47;56;69;47;47
9;47;55;67;50;47
10;47;56;70;47;47
11;47;55;67;50;47
12;47;56;70;47;47
13;47;55;67;47;47
14;47;55;67;47;47
15;47;55;67;47;47
16;47;55;67;47;47
17;47;55;67;47;47
18;47;55;67;47;47
19;47;55;67;47;47
20;47;55;67;47;47
21;47;55;67;47;47
22;47;55;67;47;47
23;47;55;67;47;47
24;47;55;67;49;47
25;47;57;69;47;47
26;47;55;67;50;47
27;47;57;70;47;47
28;47;55;67;47;47
29;47;55;67;47;47
30;47;55;67;47;47
31;47;55;67;47;47
32;47;55;67;47;47
33;47;55;67;47;47
34;47;55;67;57;47
35;47;60;75;47;47
36;47;55;67;49;47
37;47;55;67;47;47
38;47;55;67;47;47
39;47;55;67;47;47
40;47;55;67;51;47
41;47;57;71;51;47
42;50;57;71;50;47
43;47;57;70;47;47
44;47;55;67;47;47
45;47;55;67;47;47
46;47;55;67;47;47
47;47;55;67;47;47
48;47;55;67;47;47
49;47;55;67;47;47
50;47;55;67;47;47
51;47;55;67;47;47
52;47;55;67;47;47
53;47;55;67;47;47
54;47;55;67;49;47
55;47;57;69;47;47
56;47;55;67;49;47
57;47;55;67;50;47
58;49;56;70;49;47
59;47;55;67;47;47
60;47;55;67;47;47
61;47;55;67;47;47
62;47;55;67;50;47
63;47;57;70;47;47
64;47;55;67;49;47
65;47;57;69;52;47
66;49;58;70;55;47
67;52;60;73;52;47
68;49;58;70;49;47
69;47;57;69;65;47
70;49;67;83;49;47
71;47;57;69;47;47
72;47;55;67;49;47
73;47;57;69;47;47
74;47;55;67;47;47
75;47;55;67;47;47
76;47;55;67;47;47
77;47;55;67;50;47
78;47;56;70;47;47
79;47;55;67;47;47
80;47;55;67;47;47
81;47;55;67;47;47
82;47;55;67;47;47
83;47;55;67;47;47
84;47;55;67;49;47
85;47;57;69;47;47
86;47;55;67;47;47
87;47;55;67;50;47
88;47;56;70;47;47
89;47;55;67;47;47
90;47;55;67;49;47
91;47;57;69;52;47
92;49;58;70;50;47
93;47;57;70;63;47
94;50;66;83;50;47
95;47;57;70;47;47
96;47;55;67;49;47
97;47;57;69;47;47
98;47;55;67;47;47
99;47;55;67;47;47
