Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;57;71;86;62;62
1;50;66;79;50;50
2;47;57;70;47;47
3;47;55;67;49;47
4;47;56;69;47;47
5;47;55;67;47;47
6;47;55;67;49;47
7;47;57;69;47;47
8;47;55;67;47;47
9;47;55;67;47;47
10;47;55;67;49;47
11;47;55;67;47;47
12;47;55;67;47;47
13;47;55;67;47;47
14;47;55;67;47;47
15;47;55;67;47;47
16;47;55;67;47;47
17;47;55;67;47;47
18;47;55;67;47;47
19;47;55;67;47;47
20;47;55;67;50;47
21;47;56;70;47;47
22;47;55;67;47;47
23;47;55;67;47;47
24;47;55;67;47;47
25;47;55;67;47;47
26;47;55;67;47;47
27;47;55;67;50;47
28;47;56;70;57;47
29;50;61;77;50;47
30;47;56;70;67;47
31;50;68;87;50;47
32;47;56;70;47;47
33;47;55;67;47;47
34;47;55;67;47;47
35;47;55;67;47;47
36;47;55;67;63;47
37;47;66;83;67;47
38;63;68;87;63;47
39;57;67;83;57;47
40;53;61;72;53;47
41;51;59;68;51;47
42;49;58;71;51;47
43;49;58;71;49;47
44;49;57;68;49;47
45;49;57;68;49;47
46;49;57;68;51;47
47;49;58;71;49;47
48;49;57;68;53;47
49;49;58;69;52;47
50;52;58;68;52;47
51;52;58;68;52;47
52;52;58;68;52;47
53;46;57;70;52;47
54;52;58;68;52;47
55;52;58;68;52;47
56;52;58;68;52;47
57;52;58;68;52;47
58;52;58;68;52;47
59;52;58;68;52;47
60;52;58;68;52;47
61;52;58;68;52;47
62;52;58;68;53;47
63;52;59;69;53;47
64;52;59;69;52;47
65;52;58;68;52;47
66;46;57;70;46;46
67;46;53;64;46;46
68;44;53;64;44;44
69;46;53;64;46;44
70;44;53;64;44;44
71;46;53;64;46;44
72;44;53;64;44;44
73;46;53;64;46;44
74;44;53;64;44;44
75;46;53;64;46;44
76;44;53;64;44;44
77;46;53;64;46;44
78;44;53;64;44;44
79;46;53;64;49;44
80;44;55;69;44;44
81;46;53;64;46;44
82;44;53;64;44;44
83;46;53;64;46;44
84;44;53;64;46;44
85;46;53;64;46;44
86;44;53;64;44;44
87;46;53;64;46;44
88;44;53;64;53;44
89;46;58;69;46;44
90;44;53;64;44;44
91;46;53;64;46;44
92;44;53;64;44;44
93;46;53;64;46;44
94;44;53;64;44;44
95;46;53;64;62;44
96;44;65;76;44;44
97;46;53;64;46;44
98;44;53;64;44;44
99;46;53;64;46;44
