Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;66;81;91;66;66
1;55;69;86;55;55
2;55;61;75;55;55
3;55;61;75;56;55
4;55;61;75;55;55
5;55;61;75;56;55
6;51;60;75;55;55
7;55;61;75;55;55
8;55;61;75;55;55
9;55;60;73;55;55
10;55;60;73;55;55
11;55;60;73;65;55
12;55;68;81;55;55
13;55;60;73;55;55
14;55;60;73;55;55
15;55;60;73;55;55
16;55;60;73;55;55
17;55;60;73;55;55
18;55;60;73;55;55
19;55;60;73;55;55
20;55;61;73;55;55
21;55;60;73;55;55
22;55;60;73;55;55
23;55;60;73;55;55
24;55;60;73;55;55
25;55;60;73;55;55
26;55;60;73;55;55
27;55;60;73;55;55
28;55;60;73;55;55
29;55;60;73;55;55
30;55;60;73;55;55
31;55;60;73;55;55
32;55;60;73;55;55
33;55;60;73;55;55
34;55;60;73;55;55
35;55;61;75;55;55
36;55;61;75;55;55
37;55;61;75;55;55
38;55;60;73;55;55
39;55;60;73;55;55
40;55;60;73;55;55
41;55;60;73;55;55
42;55;60;73;55;55
43;55;60;73;55;55
44;55;60;73;55;55
45;55;60;73;55;55
46;55;60;73;57;55
47;55;61;73;57;55
48;56;62;77;56;55
49;53;61;76;59;55
50;53;62;76;56;55
51;53;61;76;56;55
52;49;61;76;49;49
53;49;57;69;49;49
54;49;57;69;49;49
55;49;57;69;58;49
56;49;63;78;58;49
57;49;63;78;49;49
58;49;57;69;49;49
59;47;57;69;47;47
60;47;55;67;47;47
61;47;55;67;55;47
62;47;59;68;47;47
63;47;55;67;47;47
64;47;55;67;49;47
65;47;55;67;47;47
66;47;55;67;47;47
67;47;55;67;47;47
68;47;55;67;49;47
69;46;54;62;47;47
70;47;55;67;49;47
71;47;57;69;49;47
72;49;57;69;49;47
73;49;57;69;53;47
74;49;56;69;50;47
75;47;55;68;47;47
76;47;55;67;47;47
77;47;55;67;47;47
78;47;55;67;49;47
79;47;55;69;47;47
80;46;54;64;64;47
81;47;66;79;47;47
82;46;54;64;47;47
83;46;54;64;46;46
84;46;54;64;46;46
85;46;53;64;46;46
86;44;53;64;49;46
87;46;54;69;46;46
88;44;53;64;46;46
89;46;53;64;46;46
90;44;53;64;50;46
91;46;54;64;49;46
92;49;56;69;49;46
93;46;56;69;46;46
94;44;53;64;44;44
95;46;53;64;46;44
96;44;53;64;44;44
97;46;53;64;46;44
98;44;53;64;44;44
99;46;53;64;46;44
