Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;58;63;78;58;58
1;57;63;78;57;57
2;56;62;77;56;56
3;56;62;76;56;56
4;53;61;76;56;56
5;53;61;76;57;56
6;54;62;77;59;56
7;57;63;79;63;56
8;59;67;83;59;56
9;57;63;79;58;56
10;56;63;78;58;56
11;53;62;78;53;53
12;52;59;69;52;52
13;50;58;68;52;52
14;46;57;68;46;46
15;44;53;64;53;46
16;46;59;72;46;46
17;44;53;64;44;44
18;46;53;64;46;44
19;44;53;64;44;44
20;46;53;64;46;44
21;44;53;64;44;44
22;46;53;64;46;44
23;44;53;64;44;44
24;46;53;64;46;44
25;44;53;64;44;44
26;46;53;64;46;44
27;44;53;64;46;44
28;46;53;64;46;44
29;46;54;62;46;44
30;46;53;64;46;44
31;44;53;64;44;44
32;46;53;64;46;44
33;44;53;64;44;44
34;46;53;64;46;44
35;44;53;64;55;44
36;46;61;75;46;44
37;44;53;64;44;44
38;46;53;64;46;44
39;44;53;64;46;44
40;46;53;64;46;44
41;44;53;64;44;44
42;46;53;64;46;44
43;44;53;64;44;44
44;46;53;64;46;44
45;44;53;64;44;44
46;46;53;64;46;44
47;44;53;64;44;44
48;46;53;64;46;44
49;44;53;64;59;44
50;46;63;75;46;44
51;44;53;64;44;44
52;46;53;64;46;44
53;44;53;64;49;44
54;46;54;69;46;44
55;44;53;64;44;44
56;46;53;64;46;44
57;44;53;64;44;44
58;46;53;64;47;44
59;44;54;62;44;44
60;46;53;64;46;44
61;44;53;64;44;44
62;46;53;64;46;44
63;44;53;64;44;44
64;46;53;64;46;44
65;44;53;64;53;44
66;46;58;69;52;44
67;46;57;69;46;44
68;46;53;64;46;44
69;46;54;64;46;44
70;46;53;64;46;44
71;44;53;64;44;44
72;46;53;64;46;44
73;44;53;64;44;44
74;46;53;64;46;44
75;44;53;64;44;44
76;46;53;64;46;44
77;44;53;64;61;44
78;46;65;77;46;44
79;44;53;64;57;44
80;46;62;74;61;44
81;57;65;78;59;44
82;55;64;77;55;44
83;51;61;73;51;44
84;46;56;69;51;44
85;46;55;69;46;44
86;46;53;64;46;44
87;44;53;64;44;44
88;46;53;64;52;44
89;44;57;68;44;44
90;46;53;64;46;44
91;44;53;64;44;44
92;46;53;64;46;44
93;44;53;64;44;44
94;46;53;64;46;44
95;44;53;64;44;44
96;46;53;64;46;44
97;44;53;64;44;44
98;46;53;64;46;44
99;44;53;64;44;44
