Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;52;56;63;52;52
1;51;54;60;52;52
2;50;54;59;50;50
3;49;53;60;49;49
4;48;52;62;48;48
5;49;52;61;49;48
6;48;52;62;48;48
7;49;52;61;49;48
8;48;52;62;50;48
9;49;53;60;49;48
10;48;52;62;50;48
11;49;53;60;53;48
12;49;54;63;49;48
13;46;51;59;46;46
14;47;51;56;47;46
15;46;51;57;46;46
16;47;51;56;47;46
17;46;51;57;46;46
18;47;51;56;47;46
19;46;51;57;46;46
20;47;51;56;47;46
21;46;51;57;46;46
22;47;51;56;47;46
23;46;51;57;46;46
24;47;51;56;47;46
25;46;51;57;46;46
26;47;51;56;47;46
27;46;51;57;48;46
28;47;51;58;47;46
29;46;51;57;46;46
30;47;51;56;47;46
31;46;51;57;46;46
32;47;51;56;47;46
33;46;51;57;46;46
34;47;51;56;47;46
35;46;51;57;50;46
36;47;53;60;47;46
37;46;51;57;55;46
38;47;55;65;52;46
39;49;54;62;49;46
40;48;53;59;50;46
41;49;53;60;49;46
42;48;53;59;48;46
43;47;52;58;47;46
44;48;51;57;48;46
45;47;52;58;47;46
46;48;51;57;48;46
47;47;52;58;49;46
48;48;52;59;48;46
49;47;52;58;49;46
50;48;53;59;48;46
51;47;52;58;47;46
52;48;51;57;48;46
53;47;52;58;47;46
54;48;51;57;48;46
55;47;52;58;47;46
56;48;51;57;48;46
57;47;52;58;47;46
58;48;51;57;48;46
59;47;52;58;49;46
60;48;53;59;48;46
61;47;52;58;47;46
62;48;51;57;48;46
63;47;52;58;47;46
64;48;51;57;48;46
65;47;52;58;49;46
66;48;52;59;48;46
67;47;52;58;47;46
68;48;51;57;48;46
69;47;52;58;49;46
70;48;52;59;48;46
71;47;52;58;49;46
72;48;52;59;48;46
73;47;52;58;47;46
74;48;51;57;48;46
75;47;52;58;47;46
76;48;51;57;50;46
77;47;53;60;47;46
78;48;51;57;48;46
79;47;52;58;47;46
80;48;51;57;48;46
81;47;52;58;49;46
82;48;53;59;48;46
83;47;52;58;49;46
84;48;53;59;51;46
85;49;53;61;49;46
86;48;53;59;52;46
87;49;54;62;49;46
88;48;53;59;48;46
89;47;52;58;47;46
90;48;51;57;48;46
91;47;52;58;47;46
92;48;51;57;48;46
93;47;52;58;47;46
94;48;51;57;48;46
95;47;52;58;51;46
96;48;53;61;48;46
97;47;52;58;51;46
98;48;53;61;48;46
99;47;52;58;47;46
