Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;23
1;85
2;183
3;209
4;165
5;89
6;63
7;28
8;19
9;5
10;5
11;6
12;3
13;5
14;2
15;3
16;1
17;1
18;5
19;1
20;0
21;1
22;0
23;3
24;1
25;2
26;0
27;2
28;2
29;1
30;0
31;2
32;2
33;1
34;2
35;0
36;1
37;0
38;0
39;0
40;1
41;0
42;2
43;0
44;2
45;1
46;2
47;0
48;3
49;1
50;2
51;2
52;1
53;0
54;1
55;0
56;0
57;2
58;0
59;0
60;1
61;0
62;3
63;0
64;1
65;0
66;1
67;1
68;0
69;1
70;1
71;1
72;1
73;2
74;0
75;0
76;0
77;1
78;0
79;0
80;0
81;1
82;2
83;1
84;1
85;0
86;0
87;1
88;0
89;1
90;0
91;1
92;0
93;0
94;0
95;1
96;1
97;0
98;0
99;0
