Numer iteracji;Najlepszy;Wybrany
0;48;48
1;47;47
2;46;46
3;47;47
4;46;46
5;47;47
6;46;46
7;47;47
8;46;46
9;47;47
10;46;46
11;47;47
12;46;46
13;47;47
14;46;46
15;47;47
16;46;46
17;47;47
18;46;46
19;47;47
20;46;46
21;47;47
22;46;46
23;47;47
24;46;46
25;47;47
26;46;46
27;47;47
28;46;46
29;47;47
30;46;46
31;47;47
32;46;46
33;47;47
34;46;46
35;47;47
36;46;46
37;47;47
38;46;46
39;47;47
40;46;46
41;47;47
42;46;46
43;47;47
44;46;46
45;47;47
46;46;46
47;47;47
48;46;46
49;47;47
50;46;46
51;47;47
52;46;46
53;47;47
54;46;46
55;47;47
56;46;46
57;47;47
58;46;46
59;47;47
60;46;46
61;47;47
62;46;46
63;47;47
64;46;46
65;47;47
66;46;46
67;47;47
68;46;46
69;47;47
70;46;46
71;47;47
72;46;46
73;47;47
74;46;46
75;47;47
76;46;46
77;47;47
78;46;46
79;47;47
80;46;46
81;47;47
82;46;46
83;47;47
84;46;46
85;47;47
86;46;46
87;47;47
88;46;46
89;47;47
90;46;46
91;47;47
92;46;46
93;47;47
94;46;46
95;47;47
96;46;46
97;47;47
98;46;46
99;47;47
