Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;88;92;96;96;92
1;92;95;100;92;92
2;88;92;96;88;88
3;84;88;92;89;88
4;85;89;93;85;85
5;84;87;93;89;85
6;85;89;93;85;85
7;84;86;89;84;84
8;80;86;88;85;84
9;84;86;89;84;84
10;80;86;89;85;84
11;84;86;89;84;84
12;80;84;88;80;80
13;84;84;89;84;80
14;80;85;89;88;80
15;84;88;93;84;80
16;80;84;89;80;80
17;84;84;85;84;80
18;80;85;89;80;80
19;84;84;85;84;80
20;80;86;89;85;80
21;84;86;89;84;80
22;80;86;89;88;80
23;84;88;93;89;80
24;85;89;97;85;80
25;84;86;93;84;80
26;80;86;89;88;80
27;84;88;92;92;80
28;88;92;96;96;80
29;92;95;100;92;80
30;88;92;96;88;80
31;84;88;92;89;80
32;85;89;93;85;80
33;84;86;89;84;80
34;80;86;90;80;80
35;84;84;85;84;80
36;80;85;89;88;80
37;84;88;92;84;80
38;80;85;88;88;80
39;84;89;93;89;80
40;85;89;97;85;80
41;84;88;93;84;80
42;80;86;89;88;80
43;84;88;92;92;80
44;88;92;96;96;80
45;92;95;100;92;80
46;88;92;96;88;80
47;84;88;92;92;80
48;88;92;96;88;80
49;84;88;92;84;80
50;80;86;88;85;80
51;84;87;89;85;80
52;81;87;93;89;80
53;85;89;97;85;80
54;81;87;93;85;80
55;84;87;89;85;80
56;85;88;93;85;80
57;84;88;93;84;80
58;80;87;89;85;80
59;84;87;93;89;80
60;81;89;93;93;80
61;85;92;97;93;80
62;88;93;101;93;80
63;89;93;101;89;80
64;85;89;97;85;80
65;84;87;93;89;80
66;85;89;93;85;80
67;84;87;90;86;80
68;85;88;94;90;80
69;86;90;98;86;80
70;85;88;94;90;80
71;86;90;94;90;80
72;86;90;94;94;80
73;90;93;98;90;80
74;86;90;94;86;80
75;84;87;90;84;80
76;81;87;88;86;80
77;84;87;90;90;80
78;86;90;94;94;80
79;90;94;98;94;80
80;86;93;98;94;80
81;90;94;98;90;80
82;86;90;94;94;80
83;90;93;98;90;80
84;86;90;94;90;80
85;85;90;94;90;80
86;82;90;94;89;80
87;85;91;97;92;80
88;88;92;96;89;80
89;85;90;97;85;80
90;81;86;93;89;80
91;85;91;97;93;80
92;89;93;101;89;80
93;85;90;97;85;80
94;81;87;93;85;80
95;84;87;93;89;80
96;85;90;97;85;80
97;84;87;89;84;80
98;80;86;88;88;80
99;84;88;92;92;80
