Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;85;89;93;93;89
1;89;92;97;97;89
2;93;96;101;101;89
3;97;100;105;97;89
4;93;97;103;93;89
5;89;93;99;89;89
6;85;90;94;91;89
7;89;91;95;90;89
8;85;89;94;86;86
9;84;88;90;90;86
10;86;90;94;91;86
11;89;92;98;95;86
12;91;95;102;99;86
13;95;98;106;95;86
14;91;95;102;95;86
15;91;95;103;91;86
16;87;92;99;93;86
17;89;93;97;89;86
18;85;89;93;85;85
19;84;87;90;90;85
20;85;90;94;87;85
21;86;90;95;86;85
22;85;88;94;86;85
23;84;87;90;86;85
24;85;88;94;85;85
25;84;86;90;89;85
26;85;90;97;89;85
27;85;90;94;89;85
28;85;90;97;89;85
29;85;90;94;85;85
30;81;86;90;81;81
31;84;85;86;84;81
32;80;85;88;80;80
33;84;84;85;84;80
34;80;84;88;80;80
35;84;84;85;84;80
36;80;86;88;88;80
37;84;88;92;84;80
38;80;86;88;80;80
39;84;84;85;84;80
40;80;84;88;80;80
41;84;84;85;84;80
42;80;84;88;80;80
43;84;84;84;84;80
44;80;84;88;88;80
45;84;88;92;84;80
46;80;84;88;80;80
47;84;84;84;84;80
48;80;84;88;80;80
49;84;84;84;84;80
50;80;84;88;88;80
51;84;88;92;92;80
52;88;92;96;88;80
53;84;88;92;92;80
54;88;92;96;96;80
55;92;95;100;92;80
56;88;92;96;96;80
57;92;95;100;100;80
58;96;99;104;96;80
59;92;95;100;100;80
60;96;99;104;96;80
61;92;95;100;100;80
62;96;99;104;96;80
63;92;95;100;92;80
64;88;92;96;88;80
65;84;88;92;84;80
66;80;85;89;80;80
67;84;84;85;84;80
68;80;84;89;80;80
69;84;84;85;84;80
70;80;86;89;80;80
71;84;84;85;84;80
72;80;85;89;85;80
73;84;86;93;89;80
74;81;89;97;81;80
75;84;85;93;84;80
76;80;84;89;80;80
77;84;84;85;85;80
78;80;86;89;89;80
79;84;88;93;89;80
80;80;88;93;86;80
81;84;86;90;84;80
82;81;86;88;86;80
83;84;86;90;84;80
84;81;86;88;88;80
85;84;88;92;84;80
86;81;86;88;81;80
87;84;84;85;84;80
88;80;85;88;88;80
89;84;88;92;84;80
90;80;84;88;80;80
91;84;84;85;84;80
92;80;85;89;85;80
93;84;86;93;84;80
94;80;85;89;89;80
95;84;89;93;84;80
96;80;85;89;81;80
97;84;84;85;85;80
98;81;85;89;88;80
99;84;88;93;84;80
