Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;89;93;97;97;93
1;93;96;101;93;93
2;89;93;97;89;89
3;85;89;93;93;89
4;89;93;97;97;89
5;93;96;101;93;89
6;89;93;97;89;89
7;85;89;93;93;89
8;89;93;97;97;89
9;93;97;101;98;89
10;94;97;102;94;89
11;90;94;102;98;89
12;94;97;102;98;89
13;94;98;102;94;89
14;90;94;98;98;89
15;94;98;102;101;89
16;97;100;105;98;89
17;94;98;102;102;89
18;98;102;110;98;89
19;94;98;106;98;89
20;94;98;106;101;89
21;96;99;105;101;89
22;97;100;105;97;89
23;89;96;101;93;89
24;85;92;97;85;85
25;81;87;93;81;81
26;84;84;89;89;81
27;80;88;93;93;81
28;84;91;97;97;81
29;85;96;101;101;81
30;93;100;105;97;81
31;93;97;105;93;81
32;89;94;101;97;81
33;93;98;105;93;81
34;89;94;101;89;81
35;85;90;97;85;81
36;84;87;93;84;81
37;80;85;89;80;80
38;84;84;85;84;80
39;80;84;88;88;80
40;84;88;92;84;80
41;80;84;89;85;80
42;84;86;93;84;80
43;80;85;89;80;80
44;84;84;85;84;80
45;80;84;88;81;80
46;84;84;85;84;80
47;80;84;88;88;80
48;84;88;92;84;80
49;80;84;88;88;80
50;84;88;92;92;80
51;88;92;96;88;80
52;84;88;92;92;80
53;88;92;96;88;80
54;84;88;92;84;80
55;80;85;88;88;80
56;84;89;92;84;80
57;80;85;88;80;80
58;84;84;85;84;80
59;80;86;88;85;80
60;84;86;90;89;80
61;85;89;93;93;80
62;89;92;97;89;80
63;85;89;93;93;80
64;89;92;97;89;80
65;85;89;93;85;80
66;84;87;89;85;80
67;81;87;89;85;80
68;84;86;89;84;80
69;80;86;88;88;80
70;84;88;92;85;80
71;81;87;89;81;80
72;84;84;85;84;80
73;80;84;89;81;80
74;84;85;93;85;80
75;81;86;97;81;80
76;84;85;93;84;80
77;81;86;88;85;80
78;84;86;93;85;80
79;80;87;93;89;80
80;84;90;97;92;80
81;88;92;96;96;80
82;92;95;100;92;80
83;88;92;96;89;80
84;84;91;97;92;80
85;88;92;96;96;80
86;92;95;100;92;80
87;88;92;96;88;80
88;84;88;92;92;80
89;88;92;96;96;80
90;92;95;100;92;80
91;88;92;96;88;80
92;84;89;92;92;80
93;88;92;96;96;80
94;92;95;100;92;80
95;88;92;96;96;80
96;92;95;100;92;80
97;88;92;96;88;80
98;84;88;92;84;80
99;80;84;88;81;80
