Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;105;110;117;113;113
1;105;110;121;105;105
2;101;104;113;109;105
3;105;107;117;105;105
4;101;104;113;105;105
5;101;103;109;101;101
6;93;99;105;97;97
7;93;96;101;93;93
8;89;93;97;89;89
9;85;89;93;85;85
10;84;87;89;84;84
11;80;86;88;88;84
12;84;88;92;84;84
13;80;86;88;88;84
14;84;88;92;84;84
15;80;86;88;85;84
16;84;87;90;89;84
17;85;89;94;85;84
18;84;86;90;84;84
19;81;87;88;81;81
20;84;84;86;84;81
21;80;84;89;89;81
22;84;89;93;85;81
23;80;86;89;81;81
24;84;84;85;84;81
25;81;85;88;81;81
26;84;84;85;84;81
27;81;85;88;81;81
28;84;85;85;85;81
29;81;86;93;81;81
30;84;85;85;85;81
31;81;85;89;89;81
32;85;89;93;93;81
33;89;93;101;97;81
34;93;97;105;93;81
35;89;94;101;89;81
36;85;90;97;85;81
37;81;87;93;85;81
38;84;87;89;89;81
39;85;89;93;93;81
40;89;92;97;97;81
41;93;96;101;101;81
42;97;100;105;97;81
43;93;96;101;93;81
44;89;93;97;93;81
45;85;93;97;85;81
46;84;88;93;89;81
47;85;89;93;85;81
48;84;88;89;89;81
49;85;89;93;89;81
50;85;90;97;89;81
51;85;89;97;85;81
52;84;86;93;89;81
53;85;89;97;93;81
54;89;93;101;93;81
55;89;93;101;89;81
56;85;90;94;93;81
57;89;92;98;89;81
58;85;90;94;85;81
59;81;86;90;85;81
60;84;87;93;84;81
61;80;86;89;81;81
62;84;85;85;85;81
63;81;85;89;89;81
64;85;89;93;85;81
65;81;85;89;81;81
66;84;84;85;84;81
67;81;87;88;88;81
68;84;88;92;84;81
69;81;87;88;86;81
70;84;87;90;84;81
71;81;87;88;85;81
72;84;86;90;84;81
73;80;84;89;88;81
74;84;88;93;84;81
75;80;84;89;80;80
76;84;84;85;84;80
77;80;84;88;80;80
78;84;84;85;84;80
79;80;85;88;81;80
80;84;84;89;84;80
81;81;87;90;85;80
82;84;86;89;84;80
83;80;86;88;88;80
84;84;89;92;84;80
85;80;86;88;88;80
86;84;88;92;92;80
87;88;92;96;88;80
88;84;88;92;92;80
89;88;92;96;88;80
90;84;88;92;84;80
91;80;86;88;85;80
92;84;86;89;89;80
93;85;89;93;85;80
94;84;86;89;89;80
95;85;89;93;86;80
96;84;87;94;84;80
97;81;87;88;85;80
98;84;86;89;89;80
99;85;89;93;93;80
