Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;10
1;19
2;16
3;22
4;32
5;32
6;27
7;32
8;19
9;22
10;19
11;23
12;24
13;31
14;27
15;14
16;27
17;29
18;17
19;25
20;22
21;18
22;19
23;11
24;16
25;21
26;14
27;13
28;13
29;11
30;13
31;12
32;15
33;9
34;11
35;11
36;6
37;6
38;11
39;18
40;16
41;6
42;8
43;5
44;4
45;8
46;10
47;8
48;8
49;12
50;11
51;6
52;6
53;4
54;4
55;5
56;2
57;7
58;6
59;2
60;5
61;0
62;2
63;5
64;2
65;6
66;5
67;2
68;4
69;2
70;6
71;5
72;1
73;2
74;2
75;3
76;5
77;5
78;4
79;2
80;1
81;0
82;2
83;2
84;2
85;0
86;1
87;6
88;1
89;2
90;1
91;3
92;1
93;1
94;1
95;0
96;3
97;0
98;0
99;0
