Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;9;10;11;10;10
1;9;10;11;11;10
2;10;11;12;12;10
3;11;12;13;12;10
4;11;12;13;12;10
5;11;12;13;11;10
6;10;11;12;12;10
7;11;12;13;11;10
8;10;11;12;12;10
9;11;12;13;11;10
10;10;11;12;12;10
11;11;12;13;11;10
12;10;11;13;10;10
13;9;10;12;9;9
14;9;10;11;10;9
15;9;10;12;9;9
16;9;10;11;9;9
17;9;10;10;9;9
18;9;9;10;10;9
19;9;10;11;9;9
20;9;9;10;10;9
21;9;10;11;10;9
22;9;10;11;11;9
23;10;11;12;10;9
24;9;10;11;9;9
25;9;10;10;10;9
26;9;10;11;11;9
27;9;11;12;10;9
28;9;11;11;9;9
29;9;10;10;10;9
30;9;10;11;9;9
31;9;10;10;10;9
32;9;11;11;11;9
33;10;11;12;12;9
34;11;12;13;11;9
35;10;11;12;12;9
36;11;12;13;11;9
37;10;11;12;10;9
38;9;10;11;9;9
39;9;10;11;10;9
40;9;10;12;11;9
41;10;11;12;10;9
42;9;10;12;11;9
43;10;11;13;10;9
44;9;10;12;9;9
45;9;10;11;10;9
46;9;10;12;9;9
47;9;10;11;9;9
48;9;10;10;10;9
49;9;10;11;9;9
50;9;10;11;10;9
51;9;10;12;9;9
52;9;10;12;9;9
53;9;10;10;9;9
54;9;9;10;9;9
55;9;10;11;9;9
56;9;9;10;9;9
57;9;10;10;10;9
58;9;10;11;11;9
59;9;11;12;10;9
60;9;10;11;9;9
61;9;10;10;10;9
62;9;10;11;11;9
63;10;11;12;10;9
64;9;10;11;11;9
65;10;11;12;12;9
66;11;12;13;11;9
67;10;11;13;12;9
68;11;12;13;11;9
69;10;11;12;10;9
70;9;10;12;9;9
71;9;10;11;10;9
72;9;10;11;9;9
73;9;10;10;10;9
74;9;10;11;9;9
75;9;10;10;10;9
76;9;11;11;11;9
77;10;11;12;10;9
78;9;11;11;11;9
79;9;11;12;10;9
80;9;11;11;9;9
81;9;9;10;9;9
82;9;10;11;11;9
83;9;11;12;12;9
84;10;11;13;11;9
85;9;11;12;9;9
86;9;10;11;10;9
87;9;10;12;11;9
88;10;11;13;10;9
89;9;10;12;9;9
90;9;10;11;9;9
91;9;9;10;9;9
92;9;10;11;9;9
93;9;10;10;9;9
94;9;10;11;9;9
95;9;10;10;10;9
96;9;10;11;11;9
97;10;11;12;11;9
98;10;11;12;11;9
99;10;11;12;10;9
