Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;10;11;13;12;11
1;11;12;14;13;11
2;12;12;14;12;11
3;11;12;13;13;11
4;12;12;14;12;11
5;11;12;13;13;11
6;12;12;14;12;11
7;11;12;13;11;11
8;10;11;12;12;11
9;11;12;13;13;11
10;12;12;14;12;11
11;11;12;13;11;11
12;10;11;12;12;11
13;11;12;13;11;11
14;10;11;12;10;10
15;9;10;11;9;9
16;9;10;11;10;9
17;9;10;12;9;9
18;9;10;11;9;9
19;9;9;10;10;9
20;9;10;11;9;9
21;9;9;10;9;9
22;9;10;11;10;9
23;9;10;12;9;9
24;9;10;11;9;9
25;9;9;10;9;9
26;9;10;11;9;9
27;9;9;10;9;9
28;9;10;11;9;9
29;9;10;10;10;9
30;9;10;11;9;9
31;9;10;10;9;9
32;9;10;11;11;9
33;9;11;12;9;9
34;9;10;11;9;9
35;9;9;10;9;9
36;9;10;10;10;9
37;9;10;11;11;9
38;10;11;12;12;9
39;11;12;13;11;9
40;10;11;12;12;9
41;11;12;13;11;9
42;10;11;12;12;9
43;11;12;13;11;9
44;10;11;12;10;9
45;9;10;12;12;9
46;10;11;13;11;9
47;10;11;12;10;9
48;9;10;11;11;9
49;10;11;12;12;9
50;10;11;13;10;9
51;9;10;12;10;9
52;9;10;11;10;9
53;9;10;12;9;9
54;9;10;11;9;9
55;9;9;10;10;9
56;9;10;11;9;9
57;9;9;10;10;9
58;9;10;11;11;9
59;10;11;12;10;9
60;9;11;11;9;9
61;9;9;10;10;9
62;9;10;11;11;9
63;10;11;12;10;9
64;9;10;11;9;9
65;9;9;10;9;9
66;9;10;11;11;9
67;9;11;12;11;9
68;10;10;12;10;9
69;9;10;11;9;9
70;9;10;10;9;9
71;9;10;11;10;9
72;9;10;12;11;9
73;10;11;13;10;9
74;9;10;12;9;9
75;9;10;11;10;9
76;9;10;12;11;9
77;10;11;12;10;9
78;9;10;11;10;9
79;9;10;11;11;9
80;10;11;12;11;9
81;10;11;12;10;9
82;9;10;11;9;9
83;9;10;10;10;9
84;9;10;11;9;9
85;9;10;10;10;9
86;9;10;11;9;9
87;9;10;10;9;9
88;9;10;11;9;9
89;9;10;10;10;9
90;9;10;11;9;9
91;9;9;10;9;9
92;9;10;11;10;9
93;9;10;12;9;9
94;9;10;11;10;9
95;9;10;12;11;9
96;10;11;12;10;9
97;9;10;11;9;9
98;9;10;11;10;9
99;9;10;11;9;9
