Numer iteracji;Najlepszy;Sredni;Najgorszy;Wybrany;Ogolnie najlepszy
0;53;66;79;53;53
1;51;58;71;51;51
2;50;57;71;50;50
3;47;57;70;50;50
4;47;56;70;47;47
5;47;55;67;47;47
6;47;55;67;51;47
7;47;57;69;53;47
8;51;58;71;51;47
9;51;57;71;51;47
10;47;56;71;51;47
11;47;56;71;51;47
12;50;57;71;50;47
13;47;56;70;50;47
14;47;56;70;47;47
15;47;55;67;47;47
16;47;55;67;63;47
17;47;66;83;47;47
18;47;55;67;47;47
19;47;55;67;51;47
20;47;56;71;47;47
21;47;55;67;47;47
22;47;55;67;47;47
23;47;55;67;51;47
24;47;56;69;50;47
25;49;56;70;49;47
26;47;56;69;47;47
27;47;55;67;47;47
28;47;55;67;50;47
29;47;57;70;50;47
30;49;56;70;50;47
31;47;57;70;47;47
32;47;55;67;49;47
33;47;57;69;47;47
34;47;55;67;50;47
35;47;57;70;47;47
36;47;55;67;50;47
37;47;57;70;47;47
38;47;55;67;67;47
39;47;69;87;65;47
40;51;68;85;51;47
41;47;57;71;47;47
42;47;55;67;47;47
43;47;55;67;47;47
44;47;55;67;47;47
45;47;55;67;49;47
46;47;56;69;47;47
47;47;55;67;55;47
48;47;61;76;55;47
49;49;61;76;49;47
50;47;56;69;47;47
51;47;55;67;47;47
52;47;55;67;47;47
53;47;55;67;47;47
54;47;55;67;49;47
55;47;55;67;47;47
56;47;55;67;47;47
57;47;55;67;47;47
58;47;55;67;50;47
59;47;57;70;53;47
60;50;58;73;50;47
61;47;57;70;50;47
62;49;56;70;50;47
63;49;56;70;49;47
64;47;56;69;47;47
65;47;55;67;47;47
66;47;55;67;54;47
67;47;61;76;47;47
68;47;55;67;49;47
69;47;57;69;47;47
70;47;55;67;63;47
71;47;66;83;63;47
72;50;66;83;59;47
73;55;64;79;63;47
74;59;68;83;67;47
75;63;70;83;67;47
76;63;70;83;66;47
77;62;69;83;66;47
78;62;69;83;63;47
79;59;67;83;66;47
80;62;69;83;62;47
81;59;65;79;59;47
82;55;63;76;55;47
83;52;59;75;52;47
84;49;57;64;52;47
85;52;57;64;52;47
86;49;56;64;60;47
87;52;62;73;60;47
88;52;64;77;52;47
89;50;58;68;50;47
90;47;57;70;60;47
91;50;63;80;50;47
92;47;57;70;47;47
93;47;55;67;49;47
94;47;56;69;50;47
95;49;56;70;49;47
96;47;56;69;50;47
97;49;56;70;55;47
98;50;61;77;55;47
99;54;62;77;55;47
