Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;0
3;0
4;0
5;3
6;3
7;8
8;2
9;10
10;6
11;12
12;6
13;9
14;11
15;7
16;6
17;7
18;11
19;10
20;5
21;7
22;9
23;12
24;8
25;4
26;4
27;5
28;6
29;8
30;6
31;9
32;4
33;9
34;9
35;5
36;6
37;6
38;3
39;3
40;7
41;7
42;1
43;12
44;4
45;2
46;5
47;4
48;1
49;1
50;5
51;3
52;1
53;4
54;3
55;3
56;2
57;6
58;3
59;6
60;3
61;4
62;5
63;5
64;4
65;3
66;3
67;3
68;4
69;4
70;1
71;6
72;3
73;2
74;3
75;2
76;3
77;6
78;1
79;3
80;2
81;3
82;2
83;4
84;1
85;4
86;1
87;2
88;6
89;3
90;1
91;6
92;3
93;10
94;9
95;3
96;7
97;3
98;4
99;0
