Numer iteracji;Najlepszy;Sredni;Najgorszy
0;48;75;103
1;46;63;83
2;44;57;69
3;44;55;65
4;44;54;65
5;44;54;65
6;44;54;65
7;44;54;65
8;44;54;65
9;44;54;65
10;44;54;65
11;44;54;65
12;44;54;65
13;44;54;65
14;44;54;65
15;44;54;65
16;44;54;65
17;44;54;65
18;44;54;65
19;44;54;65
20;44;54;65
21;44;54;65
22;44;54;65
23;44;54;65
24;44;54;65
25;44;54;65
26;44;54;65
27;44;54;65
28;44;54;65
29;44;54;65
30;44;54;65
31;44;54;65
32;44;54;65
33;44;54;65
34;44;54;65
35;44;54;65
36;44;54;65
37;44;54;65
38;44;54;65
39;44;54;65
40;44;54;65
41;44;54;65
42;44;54;65
43;44;54;65
44;44;54;65
45;44;54;65
46;44;54;65
47;44;54;65
48;44;54;65
49;44;54;65
50;44;54;65
51;44;54;65
52;44;54;65
53;44;54;65
54;44;54;65
55;44;54;65
56;44;54;65
57;44;54;65
58;44;54;65
59;44;54;65
60;44;54;65
61;44;54;65
62;44;54;65
63;44;54;65
64;44;54;65
65;44;54;65
66;44;54;65
67;44;54;65
68;44;54;65
69;44;54;65
70;44;54;65
71;44;54;65
72;44;54;65
73;44;54;65
74;44;54;65
75;44;54;65
76;44;54;65
77;44;54;65
78;44;54;65
79;44;54;65
80;44;54;65
81;44;54;65
82;44;54;65
83;44;54;65
84;44;54;65
85;44;54;65
86;44;54;65
87;44;54;65
88;44;54;65
89;44;54;65
90;44;54;65
91;44;54;65
92;44;54;65
93;44;54;65
94;44;54;65
95;44;54;65
96;44;54;65
97;44;54;65
98;44;54;65
99;44;54;65
100;44;54;65
