Numer iteracji;Najlepszy;Sredni;Najgorszy
0;49;73;103
1;47;66;91
2;44;60;75
3;44;56;75
4;44;55;69
5;44;55;65
6;44;56;69
7;44;55;70
8;44;54;65
9;44;53;62
10;44;55;65
11;44;55;66
12;44;55;71
13;44;53;62
14;44;54;65
15;44;53;67
16;44;52;60
17;44;54;65
18;44;53;64
19;44;53;61
20;44;54;65
21;44;53;62
22;44;54;72
23;44;53;63
24;44;54;67
25;44;53;65
26;44;54;64
27;44;52;60
28;44;53;62
29;44;55;71
30;44;53;61
31;44;54;71
32;44;54;67
33;44;52;60
34;44;53;65
35;44;53;62
36;44;54;65
37;44;54;64
38;44;53;66
39;44;52;60
40;44;53;65
41;44;54;64
42;44;54;65
43;44;53;68
44;44;53;65
45;44;52;60
46;44;53;64
47;44;55;79
48;44;53;62
49;44;52;60
50;44;52;60
51;44;54;64
52;44;53;62
53;44;52;60
54;44;53;66
55;44;52;60
56;44;52;60
57;44;53;65
58;44;53;69
59;44;53;60
60;44;52;60
61;44;53;62
62;44;53;63
63;44;55;67
64;44;54;67
65;44;53;61
66;44;54;63
67;44;52;60
68;44;54;67
69;44;52;60
70;44;52;60
71;44;54;65
72;44;54;67
73;44;53;61
74;44;54;66
75;44;52;60
76;44;54;67
77;44;54;65
78;44;52;60
79;44;53;61
80;44;53;65
81;44;54;66
82;44;53;65
83;44;53;63
84;44;53;62
85;44;53;60
86;44;53;61
87;44;54;68
88;44;52;60
89;44;54;66
90;44;52;60
91;44;53;65
92;44;54;67
93;44;54;63
94;44;54;65
95;44;54;63
96;44;54;65
97;44;54;63
98;44;55;71
99;44;54;66
100;44;54;65
