Liczba iteracji;Ile razy otrzymano najlepszy w tej iteracji
0;0
1;0
2;0
3;8
4;11
5;13
6;16
7;22
8;21
9;12
10;16
11;17
12;9
13;6
14;9
15;13
16;4
17;9
18;3
19;8
20;5
21;7
22;6
23;2
24;7
25;4
26;3
27;4
28;3
29;3
30;2
31;7
32;3
33;2
34;4
35;3
36;2
37;0
38;1
39;2
40;0
41;2
42;3
43;4
44;0
45;1
46;1
47;2
48;1
49;1
50;1
51;0
52;2
53;0
54;1
55;1
56;1
57;3
58;1
59;0
60;1
61;2
62;1
63;1
64;0
65;1
66;2
67;0
68;0
69;2
70;1
71;1
72;0
73;0
74;0
75;1
76;0
77;2
78;0
79;0
80;2
81;2
82;1
83;0
84;0
85;1
86;0
87;0
88;0
89;0
90;1
91;0
92;0
93;0
94;1
95;1
96;0
97;0
98;1
99;1
