Numer iteracji;Najlepszy;Sredni;Najgorszy
0;47;73;103
1;46;68;103
2;46;62;83
3;44;58;75
4;44;58;75
5;44;57;74
6;44;58;77
7;44;55;68
8;44;55;65
9;44;57;75
10;44;56;71
11;44;56;76
12;44;56;69
13;44;56;71
14;44;55;70
15;44;55;65
16;44;55;66
17;44;56;70
18;44;55;67
19;44;54;64
20;44;54;64
21;44;55;65
22;44;55;70
23;44;56;76
24;44;56;72
25;44;55;75
26;44;55;68
27;44;56;73
28;44;53;62
29;44;54;67
30;44;55;65
31;44;55;67
32;44;56;80
33;44;55;66
34;44;55;67
35;44;54;65
36;44;56;68
37;44;56;74
38;44;56;69
39;44;55;74
40;44;55;69
41;44;53;65
42;44;55;74
43;44;55;65
44;44;55;67
45;44;55;70
46;44;55;70
47;44;56;71
48;44;55;71
49;44;55;65
50;44;55;66
51;44;57;75
52;44;56;72
53;44;55;67
54;44;55;67
55;44;55;68
56;44;56;73
57;44;53;62
58;44;55;67
59;44;55;69
60;44;55;68
61;44;54;69
62;44;55;73
63;44;56;70
64;44;54;64
65;44;54;69
66;44;55;73
67;44;54;63
68;44;54;71
69;44;55;69
70;44;55;69
71;44;53;64
72;44;54;67
73;44;53;62
74;44;56;73
75;44;56;72
76;44;56;69
77;44;54;67
78;44;54;63
79;44;54;65
80;44;55;66
81;44;55;67
82;44;55;73
83;44;55;71
84;44;55;69
85;44;55;65
86;44;55;67
87;44;54;65
88;44;56;74
89;44;56;71
90;44;54;67
91;44;54;65
92;44;54;67
93;44;56;67
94;44;56;71
95;44;54;66
96;44;55;65
97;44;54;64
98;44;54;67
99;44;55;71
100;44;56;71
