parametr prawdopodobienstwa;srednia;wariancja;min;dolny kwartyl;mediana;gorny kwartyl;max;moda;moda procent;procent poprawnych
0.1;98,866;71,419;2;100,000;100,000;100,000;100;100;97,600;2,400
0.2;94,264;314,152;8;100,000;100,000;100,000;100;100;87,900;12,200
0.5;74,294;1127,879;5;41,000;100,000;100,000;100;100;53,900;46,400
0.8;72,011;1325,610;3;31,000;100,000;100,000;100;100;56,400;43,700
1.0;71,972;1413,949;3;28,000;100,000;100,000;100;100;60,300;39,700
1.5;75,241;1450,866;3;31,250;100,000;100,000;100;100;68,200;31,800
2.0;78,849;1295,428;2;57,500;100,000;100,000;100;100;71,900;28,100
5.0;86,383;1006,164;2;100,000;100,000;100,000;100;100;82,600;17,400
8.0;88,933;901,310;2;100,000;100,000;100,000;100;100;87,800;12,200
